SourceName_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_Beta,LP_Sigcurv,hr12,hr23,Unc_PLEC_Expfactor,Unc_PLEC_Index,hr34,hr45,hr56,hr67,Variability_Index,Spectrum_Type,Unc_LP_beta,PLEC_Expfactor,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,FLAGS,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict
4FGL J1906.1+1651,49.61527,4.4507213,3182.4404,-21.213649107692007,2.178096,0.2381466,0.875208,5.013524,0.2380794,-0.98754907,5.4917386E-4,0.21602382,0.9988183,-0.3998092,-0.9333736,-0.9998523,1.9597771197538492,LogParabola,0.18606736,0.6666667,,,,,0.0,0.0,0,0.03850254372119927,0.9614974562788051,0.769905684036576,0.23009431596342467,0.6661725929552139,0.33382740704478564,0.22949100171797682,0.7705089982820222,1.0,0.19,0.0,1.0
4FGL J1906.2+0631,40.425236,-0.30215716,1039.6826,-20.01080685066724,2.4826512,0.29268947,0.7426504,5.308404,-0.64452255,-0.3864388,0.0048530786,0.37094504,-0.73411626,-0.9248598,-0.9998207,-0.943432,1.8139454469571614,LogParabola,0.1418925,0.6666667,,,spp,SNR G040.5-00.5,0.8,0.0,283,0.017818963976638416,0.9821810360233736,0.5880936420857494,0.4119063579142507,0.3392250316774202,0.6607749683225792,0.1260445999268248,0.8739554000731741,1.0,0.492,0.998,1.0
4FGL J1906.4-1757,18.40847,-11.298912,1452.0459,-21.455137190661205,2.3546784,0.17307211,0.18993483,1.9172215,-0.40119752,-0.32194152,0.0022985698,0.3051092,-0.6324142,-0.5339924,-0.8690357,-0.9999998,2.05343253337621,PowerLaw,0.11029625,0.6666667,,,,,0.0,0.0,0,0.9003899194529451,0.09961008054705686,0.9574188650461866,0.04258113495381381,0.9810134665620025,0.018986533437997038,0.7326958724459073,0.2673041275540923,0.0,0.0,0.0,0.0
4FGL J1906.4-2001,16.491268,-12.169567,1196.771,-21.983621521164487,2.5144577,0.37335008,0.68669057,2.8692229,-0.94781363,-0.2967672,0.009060027,0.9579346,-0.2774091,-0.78600395,-0.99806654,-0.91850257,1.4967596350728207,PowerLaw,0.32357135,0.6666667,,,,,0.0,0.0,4,0.9987041704574431,0.0012958295425842424,0.9064210458379379,0.09357895416206306,0.875901348039135,0.12409865196086502,0.8588186081318478,0.1411813918681529,0.0,0.006,0.0,0.0
4FGL J1907.7-4037,356.69516,-20.181274,857.847,-22.383458428816862,2.5680623,0.21415016,0.10966153,0.707264,-0.6897293,-0.1731928,0.0022877394,0.1539919,-0.76171,-0.7931886,-0.9912372,0.9348223,1.457697233502865,PowerLaw,0.22773348,0.6666667,,,,,0.0,0.0,0,0.9998469545356978,1.5304546428933512E-4,0.9703649620250628,0.029635037974938085,0.9976189493375458,0.002381050662453186,0.9750252035924232,0.024974796407576,0.0,0.0,0.0,0.0
4FGL J1908.6+0915e,43.12494,0.43006942,4524.8975,-19.86050903468641,2.2256184,1.5774627,0.2739201,2.7536771,0.9999204,-0.5602434,0.004169684,0.53303176,-0.5896498,-0.71565026,-0.76007867,-0.0074527357,1.4380434139175038,PowerLaw,0.45272958,0.6666667,,,spp,SNR G042.8+00.6,,,20,0.14279480158828295,0.857205198411715,0.9263989428514146,0.0736010571485866,0.5132841612900537,0.48671583870994606,0.47853258861969866,0.5214674113803014,1.0,0.014,0.264,0.64
4FGL J1908.7+0812,42.199318,-0.077988505,1417.957,-19.50368543391473,2.5572958,0.14523043,0.36957258,6.4381156,-0.21081954,-0.7312154,0.0043203263,0.33884478,-0.66600287,-0.8226542,-0.90812045,-0.9999993,1.759087926814039,LogParabola,0.08932724,0.6666667,,,,,0.0,0.0,20,0.002320582597896204,0.9976794174020845,0.5707666092172445,0.4292333907827555,0.1340906894000996,0.8659093105999013,0.0718215623802028,0.928178437619797,1.0,0.504,1.0,1.0
4FGL J1908.8-0131,33.553467,-4.571059,1408.1158,-19.937665745121805,2.3281379,0.10095468,0.43952033,7.546541,-0.5871112,-0.0772704,0.0022142178,0.2630037,-0.45883322,-0.57660335,-0.9686736,-0.99999577,1.6038043598049412,LogParabola,0.08310585,0.6666667,3FGL J1908.8-0130,,,,0.0,0.0,0,3.6466481748747203E-4,0.9996353351825037,0.5512377651569063,0.4487622348430944,0.07782867316766082,0.9221713268323395,0.010230977577764328,0.9897690224222362,1.0,0.528,1.0,1.0
4FGL J1909.2+4646,77.51122,16.550905,1449.0203,-22.32146931104153,2.3301318,0.3165363,0.3542705,2.6764529,0.93434495,-0.26450777,0.0052830977,0.6704544,-0.5212754,-0.5975487,-0.9999999,0.76205915,1.6319588153632165,PowerLaw,0.21189894,0.6666667,,,,,0.0,0.0,0,0.9988085790126874,0.0011914209873201472,0.8911053508759397,0.10889464912406249,0.8556319383177905,0.1443680616822105,0.8982870693534755,0.10171293064652483,0.0,0.017,0.0,0.0
4FGL J1910.2+0904,43.140526,3.3473648E-4,5500.633,-19.711686804996933,2.243704,0.3585242,0.09955336,2.328901,0.9996115,0.999958,2.0303064E-4,0.09840377,-0.76624495,-0.14112392,-0.88302207,-0.45332468,0.8698667693362092,PowerLaw,0.12429916,0.6666667,,,,,0.0,0.0,529,0.052494299439616476,0.9475057005603807,0.8639671734105927,0.13603282658940802,0.16705527793065467,0.8329447220693449,0.7929613728598859,0.20703862714011448,1.0,0.073,0.998,0.0
