Source_Name_3FGL,Flux_Density_log,Unc_EnergyFlux100_log,Spec_index,significant_curve_log,variability_log,hr12,hr23,hr34,hr45,GLAT_3FGL_3FGL,Pivot_Energy,Spectrum_Type,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict,Category_Prob
3FGL J1635.3+4257,-28.5795474,-27.9491012,2.4165976,-1.17121017,4.04428847,-0.812613897,-0.525383808,-0.504463886,-0.998605128,42.457966,1009.2501,PowerLaw,0.995625412,0.004374588,0.995560628,0.004439372,0.999786302,0.000214,0.95260431,0.04739569,0,0,0,0,AGN
3FGL J1639.4-5146,-26.5054492,-26.6818614,2.3492486,0.617628329,4.06091624,-0.530770285,-0.650281068,-0.638145495,-0.711815631,-3.3491356,1160.5977,PowerLaw,0.962773163,0.037226837,0.91372988,0.08627012,0.96411937,0.03588063,0.932607223,0.067392777,0,0,0,0,AGN
3FGL J1640.6-4917,-27.9491972,-26.3822317,2.3066864,0.90586768,4.313696,-0.652159701,-0.734148714,-0.599688238,-0.800213002,-1.8341309,1809.5013,PowerLaw,0.976000878,0.023999122,0.851187719,0.148812281,0.911680837,0.088319163,0.854850597,0.145149403,0,0,0,0,AGN
3FGL J1641.5-2856,-28.3208519,-27.2142027,2.3268378,0.864329004,3.80668818,-0.57129258,-0.709582453,-0.854217227,-0.443868591,11.382842,1225.6997,PowerLaw,0.981267349,0.018732651,0.950995249,0.049004751,0.886787686,0.113212314,0.963419259,0.036580741,0,0,0,0,AGN
3FGL J1642.4+8045,-27.753291,-28.048666,2.4850972,0.451967196,3.75313348,-0.481327733,-0.681743201,-0.811405182,-0.666413941,31.755138,731.4093,PowerLaw,0.999613189,0.000387,0.982129653,0.017870347,0.964311351,0.035688649,0.973428723,0.026571277,0,0,0,0,AGN
3FGL J1644.4+2632,-26.8059423,-27.6863388,2.7532167,0.475729828,3.74608449,-0.763360668,-0.957240615,0.292822511,-0.817898668,38.5034,512.05853,PowerLaw,0.999766272,0.000234,0.990605486,0.009394514,0.99767306,0.00232694,0.975049005,0.024950995,0,0,0,0,AGN
3FGL J1644.6-0911,-27.2125776,-27.2095272,2.5682137,-0.340934112,3.65091029,-0.649459078,-0.890030935,-0.406582337,-0.397474722,22.87281,747.56415,PowerLaw,0.999623669,0.000376,0.994868658,0.005131342,0.999373673,0.000626,0.987793431,0.012206569,0,0,0,0,AGN
3FGL J1646.9-1332,-32.1478045,-27.3217414,1.8505279,-1.23113724,3.73671535,-0.965538933,0.439124955,-0.540394377,-0.342080078,19.892075,6760.85,PowerLaw,0.99960802,0.000392,0.995545299,0.004454701,0.99985545,0.000145,0.996704807,0.003295193,0,0,0,0,AGN
3FGL J1648.0+4230,-28.341594,-27.9486681,2.4801893,-0.318162998,3.93576648,-0.508263367,-0.809440209,-0.579350915,-0.997037788,40.124744,868.2849,PowerLaw,0.999487592,0.000512,0.9934213,0.0065787,0.995824811,0.004175189,0.977138497,0.022861503,0,0,0,0,AGN
3FGL J1648.6-5635,-26.0859147,-26.9917057,2.8010836,1.25060971,3.64531819,-0.613154181,-0.940250326,-0.642247567,-0.258424246,-7.494102,542.9468,PowerLaw,0.98566256,0.01433744,0.872708731,0.127291269,0.930088984,0.069911016,0.89013733,0.10986267,0,0,0,0,AGN
3FGL J1649.6-3007,-27.3031262,-27.1310193,2.3148367,1.14193867,3.96516191,-0.494090555,-0.654908146,-0.58114128,-0.999994486,9.270359,1012.8545,PowerLaw,0.682464875,0.317535125,0.584261529,0.415738471,0.65430892,0.34569108,0.79899053,0.20100947,0,0.23,0,0,AGN
3FGL J1650.0-4438c,-22.4296635,-26.0414094,2.7087767,-0.081809693,4.07424908,-0.666651427,-0.740479338,-0.675016265,-0.844920686,-0.022006685,293.1685,PowerLaw,0.5292363,0.4707637,0.973430758,0.026569242,0.99308386,0.00691614,0.564451124,0.435548876,0,0,0,0.165,AGN
3FGL J1650.0+0356,-30.1157332,-27.5853551,2.165772,-0.343261733,4.33970364,-0.803894058,-0.569168159,-0.453433039,-0.345599277,28.68336,2179.5898,PowerLaw,0.999958961,4.1e-05,0.99554441,0.00445559,0.999778079,0.000222,0.998998694,0.001001306,0,0,0,0,AGN
3FGL J1651.5-4626,-32.1590806,-26.0593643,1.9216529,-1.99115209,3.67406019,0.734899522,-0.606633709,-0.51710155,-0.622645858,-1.3792707,11280.365,PowerLaw,0.862581233,0.137418767,0.991579519,0.008420481,0.999892003,0.000108,0.739702393,0.260297607,0,0,0,0,AGN
3FGL J1652.2-4649,-30.5064909,-26.2401333,2.0917008,0.024809776,3.98996867,-0.841436559,-0.714574556,-0.352169987,-0.621281947,-1.7187203,5244.7856,PowerLaw,0.905225809,0.094774191,0.969260376,0.030739624,0.992563667,0.007436333,0.787107409,0.212892591,0,0,0,0,AGN
3FGL J1654.0-4617,-30.8898945,-26.3797339,2.0130665,0.932456794,3.9198676,0.680382228,-0.756598189,0.016441821,-0.572634733,-1.6139033,6180.778,PowerLaw,0.986045827,0.013954173,0.919005093,0.080994907,0.976103649,0.023896351,0.895774185,0.104225815,0,0,0,0,AGN
3FGL J1655.1-4644,-32.4953383,-26.4172335,1.9307781,-1.40684043,3.75521052,0.999689174,0.113195273,-0.883307906,-0.226781104,-2.0389345,11543.483,PowerLaw,0.994883842,0.005116158,0.988596442,0.011403558,0.999782864,0.000217,0.8766816,0.1233184,0,0,0,0,AGN
3FGL J1655.5-4748,-29.5264927,-26.4634724,2.2484088,-1.49870075,3.82139223,-0.633097654,-0.859098,-0.736074838,-0.271876902,-2.7742295,2720.0981,PowerLaw,0.984322597,0.015677403,0.992948189,0.007051811,0.99991945,8.05e-05,0.907901021,0.092098979,0,0,0,0,AGN
3FGL J1655.7-4712,-30.0516658,-26.3094393,2.2347214,0.597133183,3.74287988,0.999946956,-0.843036974,-0.19572429,-0.753465539,-2.4262416,3636.4854,PowerLaw,0.806018107,0.193981893,0.931228173,0.068771827,0.969663995,0.030336005,0.767139915,0.232860085,0,0,0,0,AGN
3FGL J1656.9-3919c,-29.4886712,-25.4342526,2.4530065,0.951844769,3.68003433,-0.889997192,-0.632578098,-0.577963358,-0.803509956,2.3337407,2636.5295,PowerLaw,0.111295743,0.888704257,0.682147122,0.317852878,0.549916662,0.450083338,0.384670172,0.615329828,1,0.15,0.3,0.956,MIXED
