Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,Ln_LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Flags,Category_Prob,GLON
4FGL J0013.9-1854,-78.09192,-21.998807,1.9660697,0.15060115,0.08232986,1.2266417,-0.7748842,-0.45901757,0.001101128,-0.45060542,-0.3900339,-0.6016834,-0.4578393,0.95862498,7.86683316,AGN,bll,PowerLaw,3FGL J0013.9-1853,RBS 0030,0.999640494,0.00036,0.992047459,0.007952541,0.992294384,0.007705616,0.997378646,0.002621354,269,0,AGN,74.5878067
4FGL J0014.1+1910,-42.826824,-22.3641038,2.2641912,0.2772186,0.34991562,2.659895,0.9428984,-0.069656536,0.005486404,-0.67514765,-0.5906292,-0.9999873,-0.99807376,2.79184714,7.29558146,AGN,bll,PowerLaw,2FGL J0013.8+1907,MG3 J001356+1910,0.99662182,0.00337818,0.985229839,0.014770161,0.985528006,0.014471994,0.984957606,0.015042394,314,0,AGN,110.889938
4FGL J0014.1-5022,-65.69481,-22.0795624,1.9924736,0.17179203,0.13571842,1.7620411,0.9285301,-0.67540383,0.001415643,-0.35404137,-0.55790603,-0.41514832,-0.9998084,0.520232534,7.84194212,AGN,bll,PowerLaw,3FGL J0014.0-5025,RBS 0032,0.999775512,0.000224,0.976829108,0.023170892,0.990080321,0.009919679,0.994469759,0.005530241,308,0,AGN,317.452942
4FGL J0014.2+0854,-52.85195,-22.4246997,2.4980073,0.1484973,-0.047722973,0.58525515,0.23263466,-0.31530988,0.000528,-0.6204872,-0.7033512,-0.99999976,0.99999887,2.38731466,6.92424114,AGN,bll,PowerLaw,,MS 0011.7+0837,0.999578827,0.000421,0.99595224,0.00404776,0.998865141,0.001134859,0.987634673,0.012365327,299,0,AGN,107.618553
4FGL J0014.3-0500,-66.18239,-21.6275693,2.3452647,0.13339931,0.023047293,0.33971137,0.9634183,-0.6393423,0.001214891,-0.8068283,-0.35485289,-0.65790325,-0.9999446,2.99255043,7.53778772,AGN,bcu,PowerLaw,3FGL J0014.3-0455,GALEXASC J001420.46-045929.1,0.999921931,7.81e-05,0.996184379,0.003815621,0.998763111,0.001236889,0.998481517,0.001518483,285,0,AGN,99.5094757
4FGL J0014.7+5801,-4.4981065,-22.1106174,1.7403266,0.1795938,0.15785687,1.92132,-0.99629235,0.9950866,0.000505,-0.67607266,0.14505653,-0.3875114,-0.44803885,2.55968599,9.19112136,AGN,bll,PowerLaw,3FGL J0014.7+5802,1RXS J001442.2+580201,0.999647457,0.000353,0.995115952,0.004884048,0.997892204,0.002107796,0.996237214,0.003762786,308,0,AGN,118.074745
4FGL J0014.8+6118,-1.257189,-21.0953034,2.0077274,0.18973738,0.27680916,3.4934657,-0.8956941,-0.46390438,0.001732777,-0.31436062,-0.30697995,-0.4602657,-0.790448,1.26487052,8.22768457,AGN,bcu,LogParabola,3FGL J0014.6+6119,4C +60.01,0.967213537,0.032786463,0.898066184,0.101933816,0.896908629,0.103091371,0.937665128,0.062334872,303,0,AGN,118.557297
4FGL J0014.9+3212,-30.021877,-22.2211259,2.676878,0.16861759,0.3146403,3.0807612,0.39478225,-0.4767924,0.008130112,-0.8399325,-0.8573707,-0.99986684,0.5720467,1.56813354,6.00059828,AGN,bcu,LogParabola,,3C 6,0.995249504,0.004750496,0.914504654,0.085495346,0.96990171,0.03009829,0.928912899,0.071087101,303,0,AGN,114.009727
4FGL J0015.2+3537,-26.677507,-22.763009,2.0663972,0.1527464,-0.056847345,0.7804479,-0.005956009,-0.723641,0.000543,-0.70328504,-0.45947632,-0.32762265,-0.6395126,1.68022407,8.19627996,AGN,bll,PowerLaw,,RX J0015.4+3536,0.999931705,6.83e-05,0.996568077,0.003431923,0.999042398,0.000958,0.999388159,0.000612,302,0,AGN,114.718231
4FGL J0015.6+5551,-6.6570644,-21.7769684,1.9079775,0.10031315,-0.029441735,0.5630203,0.7700385,-0.5396964,0.000271,-0.64019966,-0.46400204,-0.4649574,-0.1825569,2.18353895,8.67776196,AGN,bll,PowerLaw,3FGL J0015.7+5552,GB6 J0015+5551,0.999893668,0.000106,0.996076627,0.003923373,0.996028555,0.003971445,0.999436499,0.000564,294,0,AGN,117.8881
