Source_Name_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing_O,GLON_4FGL,Flags
4FGL J1226.7+0637,68.676704,-22.43898730201704,1.7353107,0.18968453,0.1434201,1.8282434,-0.99999976,0.999999,6.3717767E-4,-0.53756976,-0.13582544,-0.39590842,-0.54216367,3.0120990541025927,8.623292180335552,AGN,bll,PowerLaw,3FGL J1226.8+0638,1RXS J122645.2+063906,0.9996952430049117,3.047569950886605E-4,0.9978064439764542,0.0021935560235458013,0.9990127354595171,9.872645404835393E-4,0.9947853775662109,0.005214622433789171,270,0.999727096140823,2.7290385917807484E-4,0.9981050299951688,0.0018949700048312974,0.9972227242524938,0.0027772757475064956,0.9927385684005487,0.007261431599450699,270,285.84778,0
4FGL J1226.8-1329,48.942688,-21.04951960440932,1.9982351,0.095152676,0.11751007,2.5393667,-0.36679852,-0.7567652,6.835841E-4,-0.18973532,-0.5469356,-0.6450377,-0.25336447,3.75075176782725,7.82502013624206,AGN,bll,PowerLaw,3FGL J1226.9-1329,PMN J1226-1328,0.9998474373378714,1.5256266212888915E-4,0.9979480576950155,0.002051942304984545,0.9991865116590648,8.134883409346711E-4,0.9973879340227926,0.0026120659772068504,288,0.999216327104219,7.836728957812921E-4,0.9990496316858111,9.503683141886886E-4,0.9976193744003427,0.0023806255996577028,0.9934823390367852,0.006517660963215241,288,293.81985,0
4FGL J1227.1-4437,18.029991,-22.63081400683957,1.8547153,0.221793,0.087470315,0.92549515,-0.67739326,0.98940426,8.193938E-4,-0.8140317,0.35408828,-0.6181673,-0.12154309,2.966270764079352,8.609619161337699,AGN,bll,PowerLaw,,PKS 1224-443,0.999921599950007,7.840004999338677E-5,0.9974489067064043,0.002551093293595371,0.9996329149585934,3.6708504140602657E-4,0.9982923118609655,0.0017076881390343463,298,0.9996947305620643,3.052694379353048E-4,0.9982654738556578,0.0017345261443421126,0.9987928565441238,0.0012071434558766788,0.9951238455165461,0.004876154483453669,298,298.38995,0
4FGL J1228.3+7521,41.687805,-22.87871200367409,2.2026584,0.27055407,0.060252916,0.36664823,0.99835485,-0.6497403,0.0015137553,-0.24966685,-0.67029065,-0.717726,-0.11857754,1.9844893103043277,7.559103373239753,AGN,bcu,PowerLaw,,WN B1225.8+7537,0.9995392152279855,4.6078477201562975E-4,0.9975026566774277,0.0024973433225723702,0.9962272326575338,0.0037727673424667436,0.9955056888776719,0.004494311122327751,320,0.9986656700226128,0.001334329977387651,0.9988688078023434,0.0011311921976566986,0.9862608190686087,0.013739180931391056,0.9873268142516833,0.01267318574831594,320,124.88507,0
4FGL J1228.7+4858,67.70827,-21.79944056105186,2.5555983,0.107269734,0.13480328,2.333075,0.9905451,-0.7026951,0.0029156944,-0.7135213,-0.87957466,-0.46753815,-0.99992895,4.46702634378247,6.780158743060854,AGN,fsrq,PowerLaw,3FGL J1228.7+4857,TXS 1226+492,0.9998951576385475,1.048423614516467E-4,0.9982637574705898,0.0017362425294104912,0.9992354129022686,7.645870977318709E-4,0.9964224150442591,0.0035775849557404477,286,0.9998528704691324,1.4712953086760725E-4,0.9994964097761185,5.035902238814326E-4,0.9953430088934183,0.004656991106581131,0.985190520112014,0.014809479887985921,286,132.79219,0
4FGL J1228.7-0318,59.069447,-21.90172948409648,2.1900575,0.13447891,0.06985285,1.0621649,-0.64599895,0.9640225,0.0012586392,-0.62319475,-0.5103602,-0.6816345,-0.93736815,2.811432080549832,7.479137173993421,AGN,bcu,PowerLaw,3FGL J1228.4-0317,NVSS J122900-031758,0.9998633615131132,1.366384868872024E-4,0.9972343955923484,0.0027656044076523317,0.9971843475250582,0.0028156524749417995,0.9980525863334387,0.0019474136665608801,277,0.9996885265568816,3.114734431190297E-4,0.9951578960279207,0.004842103972080383,0.9826156497070987,0.017384350292901262,0.9964219750561754,0.00357802494382508,277,291.8747,0
4FGL J1229.0+0202,64.35104,-18.99559290212843,2.7048068,0.013002026,0.09651837,9.303663,-0.38564488,-0.6917773,5.5685296E-4,-0.7971088,-0.8128105,-0.87345684,-0.86060065,8.860184418882382,5.727247569927722,AGN,FSRQ,LogParabola,3FGL J1229.1+0202,3C 273,0.988138086915527,0.011861913084472899,0.9952198089858145,0.004780191014185025,0.9999180689046923,8.193109530870238E-5,0.9346867057212432,0.06531329427875783,302,0.9958344109689127,0.0041655890310873175,0.9902140154083153,0.009785984591684112,0.9991831082220493,8.168917779509988E-4,0.9651340149347586,0.034865985065242064,302,289.93054,0
4FGL J1229.7-5304,9.662609,-21.59388340029585,2.1249335,0.09237309,0.0039812587,0.10697093,-0.433179,-0.37634867,3.107006E-4,-0.6004546,-0.61648995,-0.33177948,-0.7492741,3.1496369088290566,7.796769650261935,AGN,bll,PowerLaw,3FGL J1229.8-5305,AT20G J122939-530332,0.9998244694597475,1.755305402535444E-4,0.9961844096302848,0.0038155903697157712,0.9997517217489303,2.482782510703605E-4,0.9983796789964865,0.0016203210035137295,335,0.9994921449598193,5.078550401803119E-4,0.9956431336133733,0.00435686638662639,0.9991009239159941,8.990760840056837E-4,0.9971651141849661,0.0028348858150338335,335,299.6345,0
4FGL J1230.2+2517,84.90608,-19.37395742592393,2.0893202,0.02646139,0.05434047,4.363343,-0.2204782,-0.502262,2.519382E-4,-0.5419155,-0.5277585,-0.6302739,-0.7515158,7.456851414603108,6.698590443572679,AGN,bll,LogParabola,3FGL J1230.3+2519,ON 246,0.9998162213645488,1.8377863545113873E-4,0.9983458589264168,0.001654141073583062,0.9999855298113666,1.4470188632938483E-5,0.9981786125053972,0.0018213874946027902,279,0.9998228841141735,1.7711588582646452E-4,0.9992379146010572,7.620853989426142E-4,0.9999760480554691,2.3951944531289213E-5,0.9978132038339081,0.002186796166091816,279,232.79706,0
4FGL J1230.8+1223,74.49032,-20.26381096319916,2.057306,0.039121598,0.035015956,1.7566454,-0.44401184,-0.3831909,1.9017686E-4,-0.6018472,-0.4836253,-0.70010173,-0.25335044,3.1383013591697564,7.358546908976605,AGN,rdg,PowerLaw,3FGL J1230.9+1224,M 87,0.9996017492273775,3.9825077262187913E-4,0.9977122878096069,0.0022877121903937567,0.9974995517523846,0.002500448247614583,0.997541857805909,0.0024581421940899997,306,0.9978586145871983,0.002141385412800933,0.9969651561429405,0.0030348438570595424,0.9870194261896502,0.012980573810349852,0.9963118226734886,0.003688177326511154,306,283.8031,0
4FGL J1230.9+3711,79.05227,-23.20808739035521,2.5059001,0.17094108,-0.07535855,0.9633692,-0.27851224,-0.834601,0.00185058,-0.93821234,0.47715634,-0.9998879,-0.7844369,2.566007950799997,7.056946366050643,AGN,bll,PowerLaw,,WISE J123124.08+371102.2,0.9978789743809452,0.0021210256190546286,0.9982030990092291,0.0017969009907711489,0.999357291604581,6.427083954196262E-4,0.9884996432546677,0.011500356745331949,319,0.9964959465237451,0.0035040534762557623,0.9992482432618258,7.517567381741189E-4,0.996016231362453,0.003983768637547424,0.9812292238451642,0.018770776154836227,319,144.91394,0
4FGL J1231.5+1421,76.40654,-21.900163081539212,1.8827072,0.11293776,-0.005533864,0.11465237,0.9954277,-0.7694115,3.2902538E-4,-0.631769,-0.30872074,-0.5451922,-0.07725449,2.5863235998022964,8.330434123416838,AGN,bll,PowerLaw,3FGL J1231.8+1421,GB6 J1231+1421,0.999863120046664,1.3687995333589145E-4,0.9978700288429404,0.002129971157058994,0.9988363639090216,0.0011636360909781875,0.9992956094995813,7.043905004190358E-4,313,0.9998829474649804,1.1705253501947714E-4,0.9987839637971269,0.0012160362028730994,0.9970328568406494,0.002967143159350646,0.999014164017155,9.858359828448825E-4,313,281.9552,0
4FGL J1231.6+6415,52.737633,-22.055662452208804,1.9063061,0.09071092,1.9528384E-4,0.0,0.49016228,-0.41666943,3.4632644E-4,-0.6155555,-0.31208545,-0.54422855,-0.16214885,2.181316489798781,8.09424382052688,AGN,bll,PowerLaw,3FGL J1231.5+6414,MS 1229.2+6430,0.9997909458044271,2.0905419557324512E-4,0.9983146923858,0.0016853076141999767,0.9980458560791088,0.0019541439208912055,0.9984254672428865,0.001574532757113415,297,0.99961072697157,3.89273028430261E-4,0.9995430027576196,4.569972423800409E-4,0.9949564897343994,0.005043510265600306,0.9974547077595883,0.0025452922404122515,297,126.48707,0
4FGL J1231.7+2847,85.34356,-20.098208168168547,1.9977753,0.034384515,0.039511696,2.2547743,0.99902165,-0.47515953,2.3996498E-4,-0.5107322,-0.49315026,-0.5066015,-0.65934086,5.464541341380738,7.37605426865504,AGN,bll,PowerLaw,3FGL J1231.7+2847,B2 1229+29,0.9997636701074518,2.3632989254790998E-4,0.9984039504434968,0.0015960495565026432,0.999822121940447,1.778780595531011E-4,0.99800881583976,0.001991184160239425,294,0.999515075958155,4.8492404184505733E-4,0.9995135753565393,4.8642464346050537E-4,0.9996857026915054,3.1429730849528585E-4,0.9979223093308324,0.0020776906691677933,294,190.86122,0
4FGL J1232.5+4821,68.45979,-21.781402459859148,2.3582668,0.0966401,0.07566758,1.5428945,0.07154811,-0.5894025,0.0012298,-0.6240242,-0.73806614,-0.45156908,-0.9999941,2.55346987343398,7.08689678476946,AGN,fsrq,PowerLaw,,GB 1230+486,0.9993013256715217,6.986743284780667E-4,0.9977543814624653,0.0022456185375352615,0.9945367604784691,0.005463239521531553,0.9972352119569371,0.0027647880430628417,280,0.9983634952424326,0.0016365047575669822,0.9982360661501807,0.001763933849819068,0.9613030775978799,0.03869692240212018,0.9914576010598412,0.008542398940159257,280,131.51302,0
4FGL J1232.5-3720,25.378664,-21.62452671014489,1.9321473,0.09306509,0.019205442,0.50623053,0.28717557,-0.24031706,3.9763725E-4,-0.5009633,-0.50511223,-0.2023867,-0.6678972,2.6789337343492305,8.054348007255813,AGN,bcu,PowerLaw,3FGL J1232.5-3720,NVSS J123235-372051,0.9996883304529439,3.1166954705612413E-4,0.9976756934379706,0.0023243065620289793,0.9993224901459958,6.775098540040725E-4,0.9987104796212678,0.0012895203787321944,284,0.9992441652486136,7.558347513863462E-4,0.9991672227619531,8.32777238046386E-4,0.9978960038108252,0.002103996189174345,0.9984761835905044,0.0015238164094963748,284,298.7848,0
4FGL J1233.1+1703,79.076004,-22.509455963793126,1.9272531,0.35786384,0.5733319,2.9275718,-0.95624346,0.99979603,0.001996925,-0.45340794,-0.21454208,-0.71536016,-1.0,2.847660769702096,8.084082583735073,AGN,bll,PowerLaw,,RX J1233.0+1701,0.9985124018722453,0.0014875981277535633,0.9882500415461628,0.011749958453836473,0.9856977392448029,0.014302260755196895,0.9800574180489742,0.019942581951026137,303,0.9973542051004031,0.0026457948995972516,0.9688035972405673,0.031196402759432133,0.9378427065344037,0.062157293465596355,0.9854609806273009,0.014539019372699746,303,279.1886,0
