Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
4FGL J1905.2-5120,345.53888,-22.93443,1745.4435,-22.077521694269038,2.4580233,0.21992679,0.21980403,2.1940303,0.6871926,-0.6066875,0.003973434,0.6666667,-0.72439075,-0.7121383,-0.7046066,-0.9998937,2.4327090976664736,PowerLaw,0.12834789,0.45093557,,,,0.0,0.0,16
4FGL J1905.8+4942,80.15328,18.153082,965.24634,-21.972525410149423,2.4470248,0.23383972,0.6403907,3.222098,-0.91174495,0.59323823,0.0020060737,0.6666667,-0.5867138,-0.9143914,-0.66373897,0.021659575,2.780233642451195,LogParabola,0.30180255,0.2664499,,,,0.0,0.0,0
4FGL J1906.0-1718,18.956762,-10.949259,1700.532,-21.352590034832037,2.3422036,0.29453364,0.9263924,4.547318,0.97479147,-0.7091249,9.408883E-4,0.6666667,0.12175803,-0.6599612,-0.9998444,-0.99595267,1.5396125114701802,LogParabola,0.35717663,0.24937947,,,,0.0,0.0,0
4FGL J1906.1+1651,49.61527,4.4507213,3182.4404,-21.213649107692007,2.178096,0.2381466,0.875208,5.013524,0.2380794,-0.98754907,5.4917386E-4,0.6666667,0.9988183,-0.3998092,-0.9333736,-0.9998523,1.9597771197538492,LogParabola,0.18606736,0.21602382,,,,0.0,0.0,0
4FGL J1906.4-2001,16.491268,-12.169567,1196.771,-21.983621521164487,2.5144577,0.37335008,0.68669057,2.8692229,-0.94781363,-0.2967672,0.009060027,0.6666667,-0.2774091,-0.78600395,-0.99806654,-0.91850257,1.4967596350728207,PowerLaw,0.32357135,0.9579346,,,,0.0,0.0,4
4FGL J1906.4-1757,18.40847,-11.298912,1452.0459,-21.455137190661205,2.3546784,0.17307211,0.18993483,1.9172215,-0.40119752,-0.32194152,0.0022985698,0.6666667,-0.6324142,-0.5339924,-0.8690357,-0.9999998,2.05343253337621,PowerLaw,0.11029625,0.3051092,,,,0.0,0.0,0
4FGL J1906.9+0712,41.122837,-0.1481562,3352.552,-18.609994579977485,2.357165,0.08559768,0.22819145,7.921702,0.9730873,-0.5365117,0.0011876553,0.6666667,-0.46290413,-0.66083616,-0.82819396,-0.91848564,1.1855610788222102,LogParabola,0.041691612,0.16236787,,unk,ERC030 G041.11-00.18,0.25,0.0,4
4FGL J1907.7-4037,356.69516,-20.181274,857.847,-22.383458428816862,2.5680623,0.21415016,0.10966153,0.707264,-0.6897293,-0.1731928,0.0022877394,0.6666667,-0.76171,-0.7931886,-0.9912372,0.9348223,1.457697233502865,PowerLaw,0.22773348,0.1539919,,,,0.0,0.0,0
4FGL J1908.7+0812,42.199318,-0.077988505,1417.957,-19.50368543391473,2.5572958,0.14523043,0.36957258,6.4381156,-0.21081954,-0.7312154,0.0043203263,0.6666667,-0.66600287,-0.8226542,-0.90812045,-0.9999993,1.759087926814039,LogParabola,0.08932724,0.33884478,,,,0.0,0.0,20
4FGL J1908.8-0131,33.553467,-4.571059,1408.1158,-19.937665745121805,2.3281379,0.10095468,0.43952033,7.546541,-0.5871112,-0.0772704,0.0022142178,0.6666667,-0.45883322,-0.57660335,-0.9686736,-0.99999577,1.6038043598049412,LogParabola,0.08310585,0.2630037,3FGL J1908.8-0130,,,0.0,0.0,0
4FGL J1909.2+4646,77.51122,16.550905,1449.0203,-22.32146931104153,2.3301318,0.3165363,0.3542705,2.6764529,0.93434495,-0.26450777,0.0052830977,0.6666667,-0.5212754,-0.5975487,-0.9999999,0.76205915,1.6319588153632165,PowerLaw,0.21189894,0.6704544,,,,0.0,0.0,0
4FGL J1910.1-4704,350.23694,-22.540438,804.723,-22.33190011877896,2.592562,0.3083477,0.7320829,2.2316313,-0.84708846,-0.42462823,0.0035856355,0.6666667,-0.7139345,-0.9454204,-0.99999213,0.99998695,1.6589249242610262,PowerLaw,0.39232388,0.3603163,,agn,WISE J190952.99-471316.9,0.37,0.0,0
4FGL J1910.2+0904,43.140526,3.3473648E-4,5500.633,-19.711686804996933,2.243704,0.3585242,0.09955336,2.328901,0.9996115,0.999958,2.0303064E-4,0.6666667,-0.76624495,-0.14112392,-0.88302207,-0.45332468,0.8698667693362092,PowerLaw,0.12429916,0.09840377,,,G42.8+0.6 field,0.0,0.0,529
