Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,CLASS2,ASSOC1,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
4FGL J1018.9-5856,284.3546,-1.684872,1772.7666,-17.52162111476039,2.4562974,0.02302324,0.23604476,21.22688,-0.18726236,-0.46364504,5.9372507E-4,0.6666667,-0.66892296,-0.7594122,-0.9072475,-0.8428066,1.587528248550461,LogParabola,0.014330084,0.05525957,3FGL J1018.9-5856,3FHL J1018.8-5857,HMB,,1FGL J1018.6-5856,FGES J1036.3-5833 field,1.0,0.0,0
4FGL J1023.3-5747e,284.2092,-0.4104208,19551.87,-19.309823600872598,2.0500348,0.101580665,-0.0060551167,0.20948622,-0.5099584,0.93578976,1.8829726E-4,0.6666667,-0.85819185,-0.558872,-0.6138597,-0.44972405,1.5692690112451286,PowerLaw,0.024684317,0.21016303,3FGL J1023.1-5745,3FHL J1023.3-5747e,SFR,,Westerlund 2,FGES J1036.3-5833 field,,,4
4FGL J1023.7+0038,243.48004,45.78247,534.071,-19.979499167341267,2.381923,0.043824263,0.16053842,6.4023013,-0.30108476,-0.43633813,0.0011825457,0.6666667,-0.70025456,-0.731832,-0.84937334,-0.755062,6.894878724498519,LogParabola,0.027252652,0.08444447,2FGL J1023.6+0040,3FHL J1023.7+0040,LMB,,PSR J1023+0038,,1.0,0.0,0
4FGL J1024.5-5329,282.05533,3.313429,8475.998,-23.055818758672736,1.7436507,0.54778194,0.71053404,3.2382772,0.9990427,-0.9784301,0.001375271,0.6666667,0.998982,-0.32469174,-0.19355282,-0.8262658,2.2906193716279097,LogParabola,0.42333594,0.018988354,,,unk,,1RXS J102441.6-533141,,0.0,0.809698,0
4FGL J1024.5-4543,277.87323,9.875003,4659.9585,-22.14997326132257,1.8894291,0.18710971,0.0718303,0.95827967,0.99981236,-0.33661473,6.649691E-4,0.6666667,-0.6373359,-0.35134572,-0.3362724,-0.65438634,2.0994151191839086,PowerLaw,0.087268144,0.2768172,3FGL J1024.4-4545,3FHL J1024.5-4543,unk,,1RXS J102430.1-454401,,0.0,0.94164234,0
4FGL J1029.3-6657,289.66034,-7.8187947,2421.1992,-22.047679875488445,2.3864923,0.22467226,0.017589143,0.26890948,-0.08345654,-0.7189794,0.0015924104,0.6666667,-0.9107895,-0.16008483,-0.59926194,-0.66364086,2.618687665308777,PowerLaw,0.082882255,0.16262624,,,unk,,PMN J1029-6656,,0.0,0.9064799,0
4FGL J1034.7-4645,279.9387,9.928071,3262.6462,-22.520618039013794,2.125096,0.5033262,0.10830732,0.5195869,-0.77410126,-0.69242674,0.0026185566,0.6666667,-0.54824924,-0.58756196,-0.2186595,-0.7017657,2.294787666824012,PowerLaw,0.2571241,0.7753543,,3FHL J1034.8-4645,unk,,1RXS J103438.7-464412,,0.0,0.9521657,0
4FGL J1045.1-5940,287.60138,-0.6245656,2014.8308,-17.67913393747216,2.2978935,0.017950824,0.12813604,12.477075,0.99990803,-0.30687714,3.0369606E-4,0.6666667,-0.6072522,-0.636686,-0.79471,-0.6387037,3.687537783755209,LogParabola,0.011516484,0.03826733,3FGL J1045.1-5941,3FHL J1045.1-5941,BIN,,Eta Carinae,FGES J1036.3-5833 field,1.0,0.0,4
4FGL J1045.7-6414,289.79263,-4.627209,1571.3943,-21.199793237713887,2.4304419,0.13503169,0.1253698,1.9118865,0.330991,-0.6781618,0.002966998,0.6666667,-0.5716791,-0.68578583,-0.8613857,-0.9985401,2.0892731188661937,PowerLaw,0.0784911,0.39292035,3FGL J1045.3-6414,,unk,,1RXS J104537.2-641438,,0.0,0.958258,0
4FGL J1051.6+3253,193.0703,63.529655,2105.6887,-22.693440052929414,2.1935024,0.15314315,-0.055655,0.7630663,-0.13290206,-0.9874751,0.0011005745,0.6666667,0.5548138,-0.5501928,-0.25789192,-0.99954116,3.1028771231595824,PowerLaw,0.0582245,0.34271568,,,sbg,,NGC 3424,,0.99207217,0.84119767,0
4FGL J1059.5-6021,289.52295,-0.43875116,2659.443,-20.732632583378106,2.5050993,0.20403333,0.22323956,2.4968026,0.89884895,-0.29571664,0.004757831,0.6666667,-0.6853101,-0.68366,-1.0,0.9999978,1.5063199357098047,PowerLaw,0.14099497,0.57478225,,,spp,,SNR G289.7-00.3,,0.8,0.0,16
4FGL J1102.0-6054,290.0243,-0.8094458,1568.7766,-19.31847914279277,2.5503259,0.09016812,0.28434625,6.817263,-0.6205233,-0.22810178,0.00815391,0.6666667,-0.7038772,-0.8378188,-0.8667945,-0.112086535,1.0746326252197924,LogParabola,0.060532514,0.6701683,3FGL J1101.9-6053,,spp,,2MASS J11015838-6056516,FGES J1109.4-6115 field,0.9733658,0.0,528
4FGL J1151.4-6248,296.142,-0.73365104,3153.0242,-20.839525108628568,2.4054732,0.23930866,0.080045745,1.3459866,0.7964288,0.6870723,0.001377602,0.6666667,-0.83171517,-0.6539181,-0.73305786,-0.7018278,2.005571721326245,PowerLaw,0.0803721,0.12988633,,,spp,,SNR G296.1-00.5,,0.8,0.0,16
4FGL J1152.6-6207,296.1239,-0.026665341,1944.9512,-21.225244312053825,2.5623393,2.1205144,0.42462674,2.8873436,-0.6141717,-0.5550127,0.0014219682,0.6666667,-0.7374745,-0.9002507,-0.35535473,-1.0,1.7876453705127608,PowerLaw,1.0009781,0.21879233,,,spp,,SNR G296.1-00.5,,0.8,0.0,8
4FGL J1155.2-6259,296.59695,-0.80959797,6985.353,-21.099195100158656,2.2387471,0.17782712,-0.035031345,0.68571186,-0.5381381,0.90804875,0.0048315213,0.6666667,-0.65953726,-0.6477057,-0.81940037,-0.75058323,1.4687058656036478,PowerLaw,0.04783829,0.9486406,,,spp,,SNR G296.7-00.9,,0.8,0.0,260
4FGL J1155.6-6547,297.24838,-3.5403879,1106.7228,-21.74834683526234,2.6846857,0.30769733,0.29878345,2.600197,0.991633,-0.64396656,0.019738551,0.6666667,-0.82399255,-0.8877828,-0.999831,-0.88734776,0.3183238495819315,PowerLaw,0.15516332,1.3500289,,,unk,,PMN J1154-6542,,0.0,0.8986764,0
