spec_ind,signif_curv,var,hr45,class,source_name_1,pro_agn_GB,pro_psr_GB,pro_agn_NN,pro_psr_NN,pro_agn_rf,pro_psr_rf
2.1241972,-1.100133705435884,3.97483696536452,-0.5303566716462821,AGN,3FGL J0524.4+2839,0.9844478955304732,0.015552104469526876,0.9917919921322084,0.008208007867791642,1.0,0.0
1.6333857,0.3574575676089194,3.5951323520668366,0.22072467717817493,AGN,3FGL J0524.5-6937,0.9831144865736356,0.016885513426364337,0.9850184900558171,0.014981509944182896,0.9999999999970879,2.9121594025127708E-12
2.4045255,0.459068305946744,4.03815456167154,-0.1917968550819415,AGN,3FGL J0526.4+2247,0.9769392987171792,0.023060701282820638,0.9864302573823052,0.013569742617694886,0.8954447898545286,0.10455521014547133
2.3432455,-1.541852350743209,4.050848544296966,-0.15184503624003623,AGN,3FGL J0533.8-3754,0.980039087052865,0.019960912947134972,0.9920328202085895,0.007967179791410477,0.9551540000692638,0.044845999930736194
2.2926352,0.9946460967852343,5.302264566095964,-0.291382477240103,AGN,3FGL J0536.4-3347,0.9795111033849488,0.020488896615051197,0.9853411745392735,0.014658825460726417,0.9999999999941338,5.8662416937972085E-12
1.890715,0.7709893149009096,3.8141281081176506,-0.5864841278580718,AGN,3FGL J0538.9+1646,0.9831144865736356,0.016885513426364337,0.9529568915973377,0.047043108402662265,0.99921875,7.8125E-4
2.1070893,-1.498020516763739,3.879204398190888,-0.2988629311006355,AGN,3FGL J0540.0+1208,0.9844478955304732,0.015552104469526876,0.9919769162824525,0.008023083717547504,1.0,0.0
3.0930102,7.585122568305369E-4,3.964124633026361,-0.7575235031343602,AGN,3FGL J0556.2+3933,0.9776559466506018,0.02234405334939818,0.9875941276696858,0.012405872330314259,1.0,2.117582368135751E-23
2.1480634,-1.0557090470459043,3.4983060039050233,-0.172757044340822,AGN,3FGL J0557.7-0720,0.9844478955304732,0.015552104469526876,0.9915873622960902,0.008412637703909726,1.0,0.0
1.7110547,0.7005455450438457,3.6634472806158014,-0.4839796808641839,AGN,3FGL J0559.8+3042,0.9831144865736356,0.016885513426364337,0.963874014919136,0.03612598508086394,0.999609375,3.90625E-4
2.484669,0.43426673055754395,3.8241905277912625,-0.7343855511864937,AGN,3FGL J0601.5+2309,0.9757508796043701,0.024249120395629903,0.9748209596548467,0.025179040345153225,0.952383505154174,0.04761649484582589
2.008549,0.22786255926090063,3.9488381351766995,-0.38921242324820665,AGN,3FGL J0605.0-0000,0.9844502707110894,0.015549729288910581,0.9879328521724949,0.012067147827505034,1.0,0.0
2.2983522,0.7211961056463689,4.123885322229688,-0.70970651561715,AGN,3FGL J0609.7-1841,0.9749109282520818,0.025089071747918204,0.9663075526549603,0.03369244734503975,0.973605185546866,0.02639481445313399
2.0148985,-0.07975617789378135,3.9451949423330257,-0.6340091643975292,AGN,3FGL J0619.4+2242,0.9844502707110894,0.015549729288910581,0.9889672272573162,0.011032772742683824,1.0,0.0
2.2900796,-0.6139750116953873,3.4577963427412914,-0.7686549406792701,AGN,3FGL J0623.1-4143,0.9559919975916455,0.04400800240835441,0.9893215804329074,0.01067841956709258,0.9997802253574147,2.1977464258524722E-4
2.2764657,0.05741646942962959,4.0990945133217185,-0.4628879915814917,AGN,3FGL J0644.6+6035,0.9787530338272286,0.02124696617277145,0.9894775141758022,0.010522485824197769,0.9999999999999994,5.330101951357337E-16
2.4574044,0.8962084254714199,3.897697077597684,-0.5730556333847211,AGN,3FGL J0647.6+0032,0.9549570453951384,0.04504295460486156,0.954579742919868,0.04542025708013199,0.9241502326430449,0.07584976735695509
2.5400684,-2.607273978276101,3.8531117150208445,-0.8838774144739625,AGN,3FGL J0650.9+6524,0.9784066998274961,0.021593300172503896,0.9920969695432551,0.0079030304567449,1.0,0.0
2.2582495,-2.7436328201526177,3.644137808622017,-0.4621490012325013,AGN,3FGL J0716.0-4525,0.9773819504534706,0.02261804954652919,0.9920596821428884,0.007940317857111589,0.9749958035977955,0.025004196402204575
2.0026686,-2.0920608310362137,3.7010887168068693,-0.39029433826530663,AGN,3FGL J0721.5-0221,0.9844478955304732,0.015552104469526876,0.9919540063218288,0.008045993678171154,1.0,0.0
2.3585443,0.25735450578657554,3.5723751318050567,-0.11480575887986005,AGN,3FGL J0725.8-3532,0.9759289064918548,0.024071093508145215,0.9881594615938104,0.011840538406189568,0.9575807093519326,0.042419290648067376
2.1847017,0.15809324056800944,3.9949911529037854,-0.48597544911925555,AGN,3FGL J0725.8+0212,0.9821508704304465,0.01784912956955348,0.9880209386732469,0.011979061326753066,0.999008020711038,9.91979288961975E-4
1.6692368,-0.3528871979428958,3.4720673791341223,0.18706682342479275,AGN,3FGL J0731.8-3010,0.9844478955304732,0.015552104469526876,0.9897944511573155,0.010205548842684516,1.0,0.0
2.7803707,0.0989008166545055,4.309908661926486,-0.7515844524722357,AGN,3FGL J0733.3+5904,0.9829160204123513,0.017083979587648603,0.9897369813976744,0.01026301860232555,0.9999999999984993,1.5006773601608727E-12
1.9193196,-1.7630221693757604,3.7326305147287444,-0.1673561579639341,AGN,3FGL J0737.8-8245,0.9844478955304732,0.015552104469526876,0.9919703704446085,0.008029629555391533,1.0,0.0
2.2611725,0.9019951147239068,3.450664586429139,-0.7266921592924106,AGN,3FGL J0744.3+1715,0.9486435371808379,0.051356462819161994,0.8552935047931541,0.14470649520684586,0.8856774767399528,0.11432252326004722
2.0025747,-0.18097773213091403,4.0911573216963175,-0.32624270438842307,AGN,3FGL J0746.4-0225,0.9851786297382894,0.014821370261710466,0.9905661942299053,0.009433805770094632,1.0,0.0
2.2734842,-0.25375096565730076,3.6801520811428365,-0.4633834789453144,AGN,3FGL J0747.5-4927,0.9759289064918548,0.024071093508145215,0.9906314391125592,0.00936856088744082,0.9998046579372333,1.953420627667917E-4
2.3717525,-0.6878817672111003,4.323988407441023,-0.8519277459530681,AGN,3FGL J0749.0+4459,0.9807454152690165,0.01925458473098348,0.991290949467735,0.008709050532265016,1.0,0.0
2.2493107,0.8047628816897905,3.841011526494816,-0.7625267821196859,AGN,3FGL J0749.5+1320,0.9806214468454644,0.019378553154535683,0.9259665331329454,0.0740334668670546,0.9520692015026455,0.047930798497354495
2.199274,0.4536061727691951,3.7395610902266982,-0.7317179594463101,AGN,3FGL J0752.6-1629,0.9806214468454644,0.019378553154535683,0.9746683988294784,0.025331601170521523,0.9697341843394842,0.030265815660515734
2.2820556,-1.044854711121978,3.5802761864142645,-0.49755286248127495,AGN,3FGL J0802.3-0941,0.9773819504534706,0.02261804954652919,0.9916301127911764,0.008369887208823529,1.0,2.524354896707238E-30
1.6670097,0.6881355935098146,3.469690261507449,-0.34821232385333634,AGN,3FGL J0813.5-0356,0.9831144865736356,0.016885513426364337,0.9666803613825077,0.033319638617492334,0.974969482421875,0.025030517578125012
2.1803546,-0.05007130447933068,4.032933802313408,-0.761874344597262,AGN,3FGL J0818.0+3237,0.9844502707110894,0.015549729288910581,0.9888919878417859,0.011108012158214137,1.0,0.0
2.6124713,1.3285160316425304,4.498429607370188,-0.9086073680690313,AGN,3FGL J0823.6-4838,0.9848099105241872,0.015190089475812723,0.8463361289616891,0.15366387103831095,0.999875592416322,1.244075836780212E-4
2.34202,-1.447216432169963,3.565351658250661,-0.28814059135789155,AGN,3FGL J0826.3-6400,0.9773819504534706,0.02261804954652919,0.991867154250456,0.008132845749544024,0.9983146595649479,0.001685340435052067
1.9515342,-0.6238670996549011,3.886005403927531,-0.7586318803024017,AGN,3FGL J0830.5-4452,0.9844478955304732,0.015552104469526876,0.9906356808200945,0.009364319179905628,1.0,0.0
2.5567951,-0.28993260299693585,4.028596136111275,-0.9999852619696054,AGN,3FGL J0830.8+2629,0.9753993703467783,0.02460062965322167,0.9896272446387161,0.010372755361283893,0.9748752513479,0.025124748652100015
2.0133777,-2.3840516346716316,3.998992443205006,-0.6070125313030804,AGN,3FGL J0848.5+7018,0.9844478955304732,0.015552104469526876,0.9920906529399915,0.00790934706000846,1.0,0.0
2.5718791,0.2044346664636327,4.343619560426675,-0.9999896920244272,AGN,3FGL J0855.4+7142,0.9811752224623764,0.018824777537623433,0.9844359555929543,0.015564044407045717,1.0,0.0
2.23863,0.26019930725329776,3.8325972573958644,-0.9999509340319873,AGN,3FGL J0900.0+6754,0.9524515751803295,0.04754842481967049,0.9792465621733732,0.020753437826626774,0.977908231939691,0.022091768060308915
1.9771367,-0.6231016632990074,4.068887650546247,-0.6323449515971559,AGN,3FGL J0921.6+2339,0.9851763641373634,0.014823635862636412,0.9912553212779873,0.00874467872201272,1.0,0.0
2.166111,0.07907824272670663,3.7843540749425495,-0.538020331778664,AGN,3FGL J0931.8+6739,0.9844502707110894,0.015549729288910581,0.9881070954729011,0.011892904527098923,1.0,0.0
1.748642,0.3866197784563455,3.5099536053719604,-0.453939302351075,AGN,3FGL J0935.1-1736,0.9831144865736356,0.016885513426364337,0.9807721857238119,0.019227814276188096,1.0,1.1275702593849246E-17
1.8428967,-1.0129562972987205,3.8475298165963836,-0.43797270566742486,AGN,3FGL J0936.3-2114,0.9844478955304732,0.015552104469526876,0.9916273382277033,0.008372661772296692,1.0,3.4694469519536144E-19
2.5450487,0.19190944573536384,3.8035821949740836,-0.4120250524414972,AGN,3FGL J0937.8-6407,0.9776559466506018,0.02234405334939818,0.9882425111020827,0.011757488897917369,0.99998779296875,1.220703125E-5
1.889783,0.6019432087326994,3.9268556557649115,-0.7715195934629063,AGN,3FGL J0937.9-1435,0.9816591232244503,0.018340876775549596,0.964878598559758,0.03512140144024199,0.9999969480202706,3.051979729451655E-6
2.2964528,0.4097891459672409,3.968008118998233,-0.7684074763155938,AGN,3FGL J0941.0+6151,0.9493508602304475,0.05064913976955252,0.982944002067174,0.01705599793282596,0.9699374670490742,0.030062532950925737
2.7351112,0.6467729781033181,3.9768854116092935,-0.9985059059315889,AGN,3FGL J0946.2+5209,0.9753726098707027,0.024627390129297322,0.9309684697861206,0.06903153021387938,0.9872953414513128,0.012704658548687147
1.69938,0.32247740708444916,3.676919467755201,-0.42956698665530235,AGN,3FGL J0952.8+0711,0.9844502707110894,0.015549729288910581,0.9814504237381236,0.018549576261876394,1.0,0.0
2.2513545,-0.503352450946157,3.774973385378911,-0.45028903739418297,AGN,3FGL J1013.4-4008,0.9773819504534706,0.02261804954652919,0.9911984215703054,0.008801578429694708,0.9756537261690452,0.024346273830954838
2.605058,0.6553817599545887,3.784264017515369,-0.9999873568522542,AGN,3FGL J1016.9-2653,0.9753993703467783,0.02460062965322167,0.9284646017993488,0.07153539820065127,0.987499511240355,0.012500488759645026
2.0730712,0.30831670647552906,3.7327617850241137,-0.42559603097813836,AGN,3FGL J1027.8+8253,0.9844502707110894,0.015549729288910581,0.9839299127109631,0.01607008728903689,1.0,0.0
2.0194092,-0.3643682761591756,3.84081976430168,-0.5318664184143456,AGN,3FGL J1033.4-5035,0.9844478955304732,0.015552104469526876,0.9905020188592459,0.009497981140754057,1.0,0.0
2.3966603,-1.2783363937623566,4.078931674903652,-0.3792961505345106,AGN,3FGL J1038.0-2425,0.980039087052865,0.019960912947134972,0.9919341455015085,0.008065854498491428,1.0,6.776263578034403E-22
2.0938542,-1.493813783318058,4.133422428634811,-0.6187810629488244,AGN,3FGL J1039.5+7324,0.9851763641373634,0.014823635862636412,0.9919574815173886,0.008042518482611359,1.0,0.0
