Source_Name,GLON,GLAT,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,CLASS2,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times used
4FGL J1251.2+1039,302.79855,73.52531,2113.5496,-22.076430299766812,2.15166,0.17442365,0.042385608,0.5424072,-0.66617566,-0.70763487,0.0011406528,0.6666667,-0.49548542,-0.46869916,-0.7684803,-0.49677184,2.448547882990494,PowerLaw,AGN,0.0799618,0.26911935,3FGL J1251.3+1041,,bll,1RXS J125117.4+103914,0.9987827,0.9196082,0,0.9264045513861183,0.07359544861388176,0.9227808811502427,0.07721911884975706,0.920818460730791,0.07918153926920878,0.9161832167244944,0.08381678327550557,264
4FGL J1251.3-0201,302.88376,60.84464,1369.9319,-21.29616469260552,2.1791747,0.10348532,0.17591844,2.7152934,0.99997896,-0.23408204,0.001691224,0.6666667,-0.56188565,-0.67994714,-0.82832533,0.07508602,4.3723606423981005,PowerLaw,AGN,0.07983703,0.20713508,3FGL J1251.0-0203,,bcu,TXS 1248-017,0.998461,0.9379786,0,0.9413360031478107,0.05866399685218882,0.9304116792500604,0.06958832074993956,0.9434997819651352,0.05650021803486504,0.9143329673081373,0.08566703269186271,263
4FGL J1253.2+5301,122.315796,64.10881,1175.345,-19.306539668437573,2.0280678,0.031065293,0.086754635,6.514535,-0.28209522,-0.30806744,2.580838E-4,0.6666667,-0.49091825,-0.5065792,-0.6197923,-0.6432357,4.2719210515898896,LogParabola,AGN,0.014092198,0.042046435,3FGL J1253.2+5300,3FHL J1253.1+5300,bll,S4 1250+53,0.9998322,0.9934763,0,0.9465363219292444,0.05346367807075529,0.9347572992204605,0.06524270077953928,0.9432728926440298,0.056727107355969926,0.9264239484097155,0.07357605159028428,297
4FGL J1253.3-5816,303.1863,4.587496,888.8705,-21.745387029459806,2.725151,0.37206024,0.7326359,3.3743136,0.3621394,0.40144664,0.006579251,0.6666667,-0.7915194,-0.72796124,-0.99982375,-0.931676,1.063274953066765,LogParabola,PSR,0.5028245,0.44806778,,,psr,PSR J1253-5820,0.9180776,0.0,0,0.9251247751960486,0.07487522480395092,0.9353148206412335,0.06468517935876722,0.9182227441818394,0.08177725581816121,0.9024548654972399,0.09754513450276006,290
4FGL J1253.5-3934,303.3842,23.302856,8640.279,-22.873322328545324,1.6874421,0.3485418,0.46248636,2.6806846,-0.7325368,-0.99998295,0.0021334414,0.6666667,0.9958889,0.5151198,-0.108450785,-0.8338409,2.7655222398357773,PowerLaw,AGN,0.2426082,0.5048788,,3FHL J1253.6-3934,bll,1RXS J125341.2-393200,0.9961759,0.9533673,0,0.90806462304974,0.09193537695025948,0.929068830242971,0.07093116975702934,0.9115174891647316,0.08848251083526841,0.887788947329217,0.112211052670783,292
4FGL J1253.8+0327,304.40717,66.31565,2168.101,-20.996083497167383,1.9926465,0.076523624,0.04729906,1.3069544,0.99983114,-0.3600983,5.036507E-4,0.6666667,-0.4422313,-0.53337526,-0.5898174,-0.43359652,2.549450475724886,PowerLaw,AGN,0.037392527,0.12069465,3FGL J1253.7+0327,3FHL J1253.7+0328,bll,MG1 J125348+0326,0.998959,0.9603028,0,0.9298849743419899,0.07011502565801013,0.9312334422853773,0.06876655771462317,0.9232490751427739,0.0767509248572269,0.9111847968284775,0.08881520317152247,307
4FGL J1253.8+2929,110.33515,87.57076,4461.828,-22.936066777336674,1.830842,0.65951216,0.44728318,1.724774,0.9863422,-0.90709114,0.0027809097,0.6666667,-0.31268674,-0.16408774,-0.57933724,-0.5171135,1.8821509756076156,PowerLaw,AGN,0.3504934,0.8841219,,,bcu,FIRST J125405.0+292708,,0.0,0,0.9251415773011857,0.07485842269881413,0.9324817149978616,0.06751828500213879,0.9332283834556339,0.06677161654436595,0.9134725896831359,0.08652741031686435,287
4FGL J1253.8+6242,122.45342,54.420795,2443.778,-21.86779390705217,1.9798511,0.12161351,0.07064073,1.267296,0.9998195,-0.5962604,7.586773E-4,0.6666667,-0.5257299,-0.35629943,-0.7235097,-0.24451438,2.480799812891146,PowerLaw,AGN,0.061990302,0.18897228,3FGL J1254.1+6240,3FHL J1253.9+6242,bll,1RXS J125400.1+624303,0.99824184,0.8447582,0,0.9261395002082294,0.07386049979177016,0.930467246310916,0.06953275368908356,0.9246622085020919,0.07533779149790834,0.9085760054656178,0.09142399453438207,328
4FGL J1254.2-2205,303.77948,40.77999,2165.2156,-21.97455999155235,2.217199,0.21855035,0.10530112,0.9737472,0.29217353,-0.6503433,0.0021597897,0.6666667,-0.7011696,-0.3523615,-0.6460118,-0.99999416,3.0029478094047177,PowerLaw,AGN,0.1217319,0.41629612,3FGL J1254.1-2203,,bcu,NVSS J125422-220413,0.95760894,0.0,0,0.938607047126111,0.061392952873888344,0.9328262990230375,0.0671737009769623,0.9313430531228237,0.06865694687717658,0.9238423504815177,0.07615764951848225,311
4FGL J1254.5+2210,311.22537,85.00239,1650.2726,-21.190672350102062,2.1114566,0.08118562,0.004658894,0.07081981,-0.34300217,-0.7318359,5.884468E-4,0.6666667,-0.38034436,-0.40226564,-0.71892613,-0.69120866,3.1381190116248185,PowerLaw,AGN,0.036904994,0.12779333,3FGL J1254.5+2210,3FHL J1254.4+2210,bll,TXS 1252+224,0.99980325,0.9551191,0,0.9344168194284176,0.06558318057158263,0.9335473788695343,0.06645262113046628,0.9306709559625624,0.06932904403743723,0.914634566881689,0.08536543311831075,281
