_RAJ2000,_DEJ2000,3FGL 3FGL,Sig,Flux,RAJ2000,DEJ2000,LR-P,LRPred,RF-P,RFPred,PSR-Out,AGN-Out,BLR-PSR-P,BLR-PSR-Pred,RF-PSR-P,RF-PSR-Pred,Simbad
127.208,-24.3401,3FGL J0828.8-2420,5.5,3.4E-14,127.208,-24.3401,0.0,AGN,0.0,AGN,109.7,-0.61,0.02,,0.21,,Simbad
127.337,9.0167,3FGL J0829.3+0901,4.18,2.4E-14,127.337,9.0167,0.01,AGN,0.0,AGN,202.83,-0.09,0.01,,0.19,,Simbad
127.404,-11.6213,3FGL J0829.6-1137,5.7,2.1E-14,127.404,-11.6213,0.0,AGN,0.0,AGN,107.9,-0.7,0.01,,0.21,,Simbad
127.468,-52.6586,3FGL J0829.8-5239,6.02,2.1E-12,127.468,-52.6586,0.02,AGN,0.03,AGN,194.59,2.11,0.06,,0.29,,Simbad
127.575,-58.9179,3FGL J0830.3-5855,9.25,5.2E-12,127.575,-58.9179,0.01,AGN,0.01,AGN,206.69,1.63,0.0,,0.2,,Simbad
127.635,-44.8689,3FGL J0830.5-4452,4.7,7.9E-15,127.635,-44.8689,0.02,AGN,0.29,PSR,81.63,2.56,0.7,YNG,0.71,YNG,Simbad
127.681,24.1378,3FGL J0830.7+2408,21.3,1.0E-11,127.681,24.1378,0.0,AGN,0.0,AGN,133.25,1.34,0.02,,0.3,,Simbad
127.704,26.4911,3FGL J0830.8+2629,5.23,1.0E-12,127.704,26.4911,0.0,AGN,0.01,AGN,147.45,2.43,0.02,,0.17,,Simbad
127.991,4.5032,3FGL J0831.9+0430,42.28,1.9E-11,127.991,4.5032,0.0,AGN,0.0,AGN,152.25,0.06,0.16,,0.41,,Simbad
128.167,49.2494,3FGL J0832.6+4914,4.21,2.3E-13,128.167,49.2494,0.0,AGN,0.0,AGN,120.64,-0.21,0.02,,0.15,,Simbad
128.215,-43.3568,3FGL J0832.8-4321,6.06,1.6E-13,128.215,-43.3568,0.12,PSR,0.17,AGN,79.66,4.23,0.97,YNG,0.76,YNG,Simbad
128.528,42.3967,3FGL J0834.1+4223,13.56,1.8E-12,128.528,42.3967,0.0,AGN,0.01,AGN,155.03,0.68,0.02,,0.25,,Simbad
128.634,-48.4224,3FGL J0834.5-4825,4.72,2.3E-13,128.634,-48.4224,0.01,AGN,0.07,AGN,152.23,1.36,0.08,,0.28,,Simbad
128.674,61.0216,3FGL J0834.6+6101,4.33,3.9E-13,128.674,61.0216,0.01,AGN,0.12,AGN,188.39,6.7,0.12,,0.33,,Simbad
