Source_Name,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC_FHL,ASSOC1,Flags
4FGL J0700.2+1304,202.22447,7.8518004,-25.898655354143273,-28.159326565540002,7.967178117029121,1.8805346,0.1321393,0.10146129,1.6913314,1.0936840532120762,0.8529545,-0.65813184,-0.52735925,-0.32991663,-0.6504388,-0.3501631,AGN,bll,3FGL J0700.2+1304,3FHL J0700.1+1303,GB6 J0700+1304,0
4FGL J0700.5-6610,276.76965,-23.760103,-23.87872008989028,-27.430086929056515,6.869578961663861,1.9639497,0.024125144,0.07777366,6.570348,5.5723008074754325,0.036217667,-0.382684,-0.5169615,-0.54121715,-0.66015023,-0.67493296,AGN,bll,3FGL J0700.6-6610,3FHL J0700.5-6611,PKS 0700-661,0
4FGL J0701.5+2511,191.17593,13.266803,-26.942125338465925,-28.560717903961113,8.567418430283936,1.8710907,0.14355896,-0.020020206,0.30539963,1.9513470216713993,0.7371062,-0.84831434,-0.026224092,-0.78946626,0.08541421,-0.43074045,AGN,bcu,,3FHL J0701.5+2512,1RXS J070132.1+250950,0
4FGL J0701.5-4634,256.8021,-17.706402,-24.991870429371335,-27.92738256353305,6.468770626302411,2.317082,0.050280333,0.16317452,5.8008094,5.935217322945987,-0.22260538,-0.54834753,-0.6727495,-0.72546923,-0.9040361,-0.61264884,AGN,fsrq,3FGL J0701.4-4634,,PKS 0700-465,0
4FGL J0702.7-1951,231.92339,-6.527707,-24.690263074251025,-27.444695085996056,7.228970906329941,2.014955,0.0506931,0.08907631,3.625907,5.095744304261337,-0.26442233,-0.5252958,-0.48176977,-0.5283765,-0.66168576,-0.707376,AGN,bll,3FGL J0702.7-1952,3FHL J0702.6-1950,TXS 0700-197,0
4FGL J0703.2+6809,147.38507,26.121801,-27.767336837156627,-29.02919390534675,8.549664352080706,1.8800672,0.23239392,0.053240266,0.48591474,2.6421019954198566,-0.78617144,-0.9002513,-0.04319693,-0.46457118,-0.7537784,0.38864604,AGN,bcu,,,GB6 J0703+6808,0
4FGL J0703.2-3914,249.86345,-14.646179,-25.753793892653775,-28.213474465264117,7.595800661320888,2.0607288,0.081100285,0.064293765,1.7036846,2.4146251303958626,0.9982867,-0.62172055,-0.584487,-0.3715212,-0.7232221,-0.49298325,AGN,bll,3FGL J0703.4-3914,3FHL J0703.1-3913,1RXS J070312.7-391417,0
4FGL J0703.3-1042,223.81099,-2.2600427,-25.41615306237242,-27.282911183063078,7.006554460129317,2.5261905,0.105865866,0.020054258,0.39573953,1.3622305452007193,0.9976074,-0.107660934,-0.8497031,-0.78847164,-0.47553527,-0.32075557,AGN,bcu,3FGL J0704.1-1043,,NVSS J070322-104426,4
4FGL J0703.3-0050,215.04161,2.2641451,-25.533968955330536,-27.59207533985363,7.348076731829419,2.1893003,0.099347346,0.19652614,4.123556,3.719220907359063,-0.45798713,-0.4661897,-0.5617925,-0.63264734,-0.75173277,-0.9989294,AGN,bcu,,,TXS 0700-007,0
4FGL J0704.7+4508,171.93477,21.07924,-26.778434930220993,-28.409300924329838,7.028849882631179,2.4065542,0.17732614,0.095315725,0.9630412,1.633334611385853,0.27881095,-0.6167935,-0.6670634,-0.81370676,-0.34536842,-0.99807173,AGN,bcu,,,B3 0701+451,0
4FGL J0704.8+4907,167.82692,22.260822,-25.892492033417213,-28.219702206975715,6.662830202726767,2.3209093,0.08394627,0.15302244,3.2983172,4.295097270312335,-0.23089442,-0.57688695,-0.63891757,-0.8062805,-0.67940795,-0.6592638,AGN,bcu,,,87GB 070112.8+491056,0
4FGL J0705.7-4848,259.25995,-17.845264,-25.83859169366207,-27.97864194373046,7.221142396749048,2.2890303,0.08632937,0.16601129,3.650072,2.5924644947268813,0.58098495,-0.31318715,-0.6084625,-0.6868909,-0.7361962,-0.99981165,AGN,bcu,3FGL J0706.1-4849,3FHL J0705.9-4848,PMN J0705-4847,0
