GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,Source_Name,CLASS1,CLASS2,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
253.23625,0.8743931,-21.936573273706692,2.73044,0.2369671,0.37711313,2.6240985,0.86045176,-0.3305771,0.01215793,-0.838185,-0.7758487,-0.9997665,-0.040382758,2.091799368227792,6.477932594027858,4FGL J0819.5-3439,unk,OTHER,PowerLaw,0.12400296,0.65512246,,NVSS J081945-344215,0.0,0.8312154,0
260.30905,-3.3742685,-18.543451497619802,2.0498333,0.029121276,0.10079558,6.449677,-0.1642887,-0.29006383,1.9047932E-4,-0.47252896,-0.44938222,-0.6418856,-0.575134,2.2934269852492655,7.628003681298233,4FGL J0822.1-4253e,SNR,OTHER,LogParabola,0.014037958,0.041989896,3FGL J0822.6-4250e,Puppis A,,,0
263.3321,-3.10605,-18.272247635471665,2.1815877,0.04422501,0.034865096,1.2561462,0.69132495,0.9880046,9.382759E-5,-0.50692403,-0.4803746,-0.7262097,-0.5846987,2.611039396054164,8.946098355635602,4FGL J0833.1-4511e,PWN,OTHER,PowerLaw,0.02470023,0.059976093,3FGL J0833.1-4511e,Vela X,,,0
250.57239,7.809594,-20.436607087911483,2.1293805,0.07617358,0.29859623,7.3886085,0.99872595,-0.06213269,0.0015148319,-0.44505793,-0.4783188,-0.927371,-0.9963601,2.0180352566317805,7.200348546747078,4FGL J0838.7-2827,bin,OTHER,LogParabola,0.05798806,0.17927103,3FGL J0838.8-2829,XMMU J083850.3-282756,,0.9642502,0
266.26007,-1.2322998,-18.451503110154725,1.7855031,0.017861942,-0.019598952,1.7355343,0.96988314,-0.35408098,3.364802E-5,-0.5758254,-0.42800158,-0.4327088,-0.1884802,2.52843697347163,8.848230629093143,4FGL J0851.9-4620e,SNR,OTHER,PowerLaw,0.0073802453,0.025905455,3FGL J0852.7-4631e,RX J0852.0-4622,,,0
254.77513,8.371002,-22.811112603770265,1.7621727,0.2793487,0.24829252,1.283755,0.98126304,-0.99991673,9.6323894E-4,0.9996076,-0.39745322,-0.18804845,-0.2503139,2.2748816724668472,9.121692747973324,4FGL J0852.5-3123,unk,OTHER,PowerLaw,0.14663634,0.5168193,,NVSS J085238-312331,0.0,0.84441847,0
255.60423,9.196126,-21.99746355712865,1.7733507,0.15582068,0.093637094,1.400037,0.99637574,-0.9034953,5.123696E-4,0.018487269,-0.2760694,-0.32028922,-0.37624097,2.766275397579022,8.846920302165229,4FGL J0858.0-3130,unk,OTHER,PowerLaw,0.07341214,0.2507217,3FGL J0858.1-3130,NVSS J085802-313040,0.0,0.98605096,0
269.78375,-1.4360971,-20.967416577250027,2.747357,0.25393343,0.49789688,4.155372,-0.90405506,0.42673838,0.016557148,-0.854204,-0.8379998,-0.8163598,-0.99991196,2.051876119959544,6.770861439664407,4FGL J0904.7-4908c,unk,OTHER,LogParabola,0.17448339,0.84195715,3FGL J0905.6-4917,1RXS J090505.3-490324,0.0,0.8047491,52
178.2341,42.924023,-22.228886854492448,2.5283022,0.24154115,0.3096103,2.401001,0.93331707,-0.6543063,0.0057418905,-0.6491651,-0.9007339,-0.9976498,0.9891259,2.5896331144779885,6.726690911594307,4FGL J0910.0+4257,css,OTHER,PowerLaw,0.20844561,0.4883757,,3C 216,0.0,0.96243405,0
282.17368,-11.215276,-21.68795206588131,2.362658,0.14848746,0.20422184,2.7374182,0.9711145,-0.15169762,0.0025713006,-0.6227565,-0.6368045,-0.8777667,-0.9970914,2.39545785015033,7.114936670156478,4FGL J0912.1-6449,glc,OTHER,PowerLaw,0.09504873,0.31182942,3FGL J0912.2-6452,NGC 2808,0.9973071,0.0,0
281.7689,-9.40067,-21.691145643788985,2.231203,0.22956732,0.5242908,4.1229916,-0.9996734,0.9999555,0.0051020267,-0.383221,-0.5572405,-0.9999861,-0.10108323,0.9998619884289601,7.427503438273853,4FGL J0921.7-6317,lmb,OTHER,LogParabola,0.213653,0.5703214,,2S 0921-630,0.86303204,0.0,4
224.71835,40.384018,-21.404564390547975,2.451047,0.164445,0.3053939,3.7151701,-0.77496254,-0.25107765,0.0048317206,-0.6221728,-0.8575247,-0.8008307,-0.999597,2.6942661020754897,6.50887494359453,4FGL J0935.3+0901,bin,OTHER,LogParabola,0.12261016,0.38131645,3FGL J0935.2+0903,4FGL J0935.3+0901,0.0,0.0,0
278.0827,0.5000744,-21.698423603286443,2.1885567,0.107752554,-0.090018526,1.6135644,-0.99991375,0.99909747,7.9415645E-4,-0.77893656,-0.44957855,-0.7060405,-0.48475793,2.179453944140965,8.083945918211699,4FGL J0951.7-5328,spp,OTHER,PowerLaw,0.036047257,0.114194795,,SNR G279.0+01.1,0.8,0.0,4
269.93344,11.513521,-20.45587851686449,2.4399257,0.086880535,0.27573666,6.73585,0.9348645,-0.45107386,0.0017735283,-0.64138156,-0.7116821,-0.95857894,-0.99535275,2.5703188390360463,6.767284780640478,4FGL J0955.3-3949,bin,OTHER,LogParabola,0.058922138,0.15727322,2FGL J0955.0-3949,CRTS J095527.8-394752,,0.0,0
141.42867,40.568253,-20.809055702103663,2.2199283,0.048531637,0.060486604,2.2378747,0.99995446,-0.5052886,5.1398866E-4,-0.553501,-0.65225077,-0.61440855,-0.73966384,1.8023913664419617,7.132405215128787,4FGL J0955.7+6940,sbg,OTHER,PowerLaw,0.026528997,0.07722957,3FGL J0955.4+6940,M 82,0.99874455,0.99849063,0
