GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,CLASS2,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
113.93701,-21.972776,-21.631346117016143,2.1588902,0.1552492,0.17945859,2.3599446,0.9754525,-0.45553756,0.0014919636,-0.6128516,-0.38939533,-0.82312024,-0.71462035,3.248953521586931,7.53346453920602,bcu,,4FGL J0007.7+4008,PowerLaw,0.09027822,0.2628168,3FGL J0007.9+4006,NVSS J000741+400830,0.9971315,0.0,0
115.31625,-15.033559,-20.00382074760791,2.0470488,0.04325207,0.07913111,3.960164,-0.49768177,-0.36878565,3.4965607E-4,-0.5170913,-0.42894265,-0.6222457,-0.6937647,1.8615970971411373,7.217121076003773,bll,,4FGL J0008.0+4711,LogParabola,0.020301295,0.064725034,3FGL J0008.0+4713,MG4 J000800+4712,0.99995524,0.9736737,0
335.9962,-74.58333,-22.62595811827918,2.5832374,0.2322572,0.4068936,2.4667616,0.96521664,-0.5599435,0.008537701,-0.81050414,-0.84634143,-0.949194,-0.9996388,2.5269071495980167,6.704233946534623,bcu,,4FGL J0008.0-3937,PowerLaw,0.23803687,0.5882011,,PMN J0008-3945,0.9207396,0.8798844,16
119.14811,6.885729,-21.899176557260425,2.278677,0.20341907,0.09394212,1.0881668,-0.93205386,0.9998599,0.0017610596,-0.6641403,-0.686155,-0.41157237,-0.9978722,2.3301806586675986,8.01319302115589,,,4FGL J0008.4+6926,PowerLaw,0.10024288,0.37532642,,,0.0,0.0,0
50.26514,-79.690834,-22.528385477130318,1.6560616,0.26736003,0.27816898,2.683634,-0.997901,0.99924535,0.0012630847,-0.17414077,-0.18504943,-0.035520542,-0.78427786,2.6271684359628336,8.789054066151818,bll,,4FGL J0008.4-2339,PowerLaw,0.1497709,0.4924482,3FGL J0008.6-2340,RBS 0016,0.9926684,0.91516817,0
107.72407,-46.6767,-21.79247857877189,2.091194,0.15499178,0.1600625,2.1714606,0.9982614,0.12763087,0.0015910317,-0.42588946,-0.52930766,-0.5766764,-0.9999996,2.10204991057181,7.658058295600931,bcu,,4FGL J0008.4+1455,PowerLaw,0.08949724,0.29107356,3FGL J0008.3+1456,NVSS J000825+145635,0.9917855,0.0,0
110.91511,-36.72459,-22.9890361857337,2.8734019,0.24850172,0.19087088,1.3017763,0.9768444,-0.4749888,0.010654308,-0.8208391,-0.9215696,-0.9998313,-0.9844427,2.6106904824272448,6.024348518724643,,,4FGL J0008.9+2509,PowerLaw,0.17424163,0.55716914,,,0.0,0.0,0
319.3951,-65.54536,-22.334973824051417,2.6022162,0.1045461,-0.016354477,0.28924423,0.9999299,-0.37439325,0.0015780475,-0.75760627,-0.6550698,-0.82338476,-0.9999412,3.379553261858949,6.531538560864949,,,4FGL J0009.1-5012,PowerLaw,0.05362257,0.17146917,,,0.0,0.0,2
104.480736,-54.868298,-21.463501480391063,2.0990546,0.08882379,0.046000473,1.111143,0.98877126,-0.22092612,5.892951E-4,-0.62225765,-0.48536688,-0.55182934,-0.49851298,2.568481611699827,7.539831891431378,bll,,4FGL J0009.1+0628,PowerLaw,0.04379162,0.12933274,3FGL J0009.1+0630,TXS 0006+061,0.9931449,0.86640173,0
119.10994,6.235327,-21.100905104689495,2.6082954,0.19642895,0.526011,5.1032934,-0.4559371,-0.4866686,0.008751649,-0.7085404,-0.89524436,-0.99994725,-0.99882,1.8857447414267587,6.98420470778551,,,4FGL J0009.2+6847,LogParabola,0.19096941,0.605247,3FGL J0008.5+6853,,0.0,0.0,0
108.90927,-43.96513,-22.567626023287808,2.495962,0.3052743,0.3591845,2.4615598,0.69736284,-0.7029846,0.005799833,-0.54691327,-0.85579145,-0.9997177,-0.89260113,2.5075475655912682,6.760753451774023,,agn,4FGL J0009.2+1745,PowerLaw,0.20925014,0.52407104,,,0.31,0.0,0
116.12437,-11.803588,-19.755347294641435,1.9939121,0.03283008,0.06228566,4.1640167,0.08271766,-0.46098366,2.1954163E-4,-0.51481646,-0.4436469,-0.6030336,-0.55101514,5.000582197296182,7.182792136640716,bll,,4FGL J0009.3+5030,LogParabola,0.014364999,0.04375342,3FGL J0009.3+5030,NVSS J000922+503028,0.9999694,0.92810774,0
83.705765,-73.91203,-22.216025768516776,2.4657612,0.11727818,0.11756131,1.5849361,0.9998706,-0.34324774,0.0019675337,-0.8094941,-0.7947528,-0.3452183,-1.0,2.5243615502608803,6.645426283892674,,,4FGL J0009.7-1418,PowerLaw,0.08407623,0.18476738,3FGL J0010.5-1425,,0.0,0.0,0
0.6727207,-79.58928,-22.564974956287998,2.1454287,0.18395445,0.12845568,1.4798275,-0.8800698,0.9998189,0.0019220422,-0.4720295,-0.72473025,-0.3973133,-0.99999607,2.7269205639095015,7.571433122798381,rdg,,4FGL J0009.7-3217,PowerLaw,0.10433852,0.3153031,3FGL J0009.6-3211,IC 1531,0.99067837,0.94048434,0
327.77505,-71.76617,-22.298670699684408,2.0651708,0.1232077,0.022229282,0.39822197,0.9996603,-0.6025286,8.290876E-4,-0.512441,-0.6109618,-0.20934854,-0.9995643,2.828636947131304,7.661072389766667,bll,,4FGL J0009.8-4317,PowerLaw,0.05756117,0.1961333,,SUMSS J000949-431654,0.99851024,0.9318478,0
107.75219,-47.971355,-22.85705273635066,2.1652951,0.45761642,0.21887067,1.0791031,0.9963938,-0.86354387,0.004411801,-0.582831,-0.37203237,-0.7122069,-0.9998007,2.373876667105219,7.802369892070401,bcu,,4FGL J0009.8+1340,PowerLaw,0.29830992,0.83797175,,RX J0009.9+1341,0.9967774,0.8974321,0
46.329575,-80.37431,-22.99274425409488,2.0859656,0.36592653,0.16561562,0.9225691,0.9936864,-0.7304911,0.0031372525,-0.68142575,-0.124819696,-0.7512936,-0.99994785,2.312831716581849,7.816189831735942,,,4FGL J0010.2-2431,PowerLaw,0.22213733,0.6460013,,,0.0,0.0,0
110.21874,-41.12827,-22.47997145465133,2.31787,0.20487434,0.08393108,0.8106672,0.9937699,-0.51681966,0.0022688326,-0.6943825,-0.6397762,-0.999752,0.9967195,3.2943288406165165,7.234349531418813,fsrq,,4FGL J0010.6+2043,PowerLaw,0.11588864,0.34786206,,TXS 0007+205,0.96985173,0.0,0
10.263708,-80.482315,-21.77526842263802,2.4560356,0.09198754,0.106107526,2.040114,0.014605773,-0.57178926,0.002172687,-0.6632103,-0.846694,-0.5830918,-0.9999959,4.5173698724152755,6.600833708647041,fsrq,,4FGL J0010.6-3025,PowerLaw,0.05973913,0.18206634,,PKS 0008-307,0.99674195,0.9643442,0
60.28118,-79.400505,-22.855405701709763,2.3778617,0.15470818,-0.05275942,0.6962736,0.99603367,-0.4782088,9.5457083E-4,-0.68945205,-0.6409936,-0.52018094,-0.624447,2.5774638770266742,7.104038171190666,bcu,,4FGL J0010.8-2154,PowerLaw,0.06161661,0.24080807,,PKS 0008-222,0.9900694,0.95401853,0
330.75208,-73.720406,-23.152104527223734,2.5804715,0.26279616,0.15830652,1.0063382,0.7368393,-0.73915875,0.006002936,-0.79110783,-0.64824104,-0.99964046,0.6274354,1.603923093736875,6.615596480930652,bcu,,4FGL J0011.4-4110,PowerLaw,0.18671627,0.4797227,,PMN J0011-4105,0.93391144,0.88084537,0
102.407234,-60.302692,-21.5699823030427,2.3342156,0.108864665,0.047320575,0.84353405,-0.46836224,-0.6844149,0.0017334975,-0.6825522,-0.4243361,-0.8740306,-0.999994,4.2763298124713485,7.074708681653965,fsrq,,4FGL J0011.4+0057,PowerLaw,0.058017768,0.22730602,2FGL J0011.3+0054,RX J0011.5+0058,0.99867564,0.9197632,0
