Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing,Times in Testing_O,Flags
4FGL J1557.2+3822,61.258816,49.79609,-23.46573134926234,1.9839884,0.34710208,0.21719815,1.314753,0.91018414,0.32242402,0.002805526,-0.59046274,-0.099449724,-0.8369103,0.01307712,2.2497421775110444,8.165743628506322,UNASS,None,PowerLaw,,,0.9967995935192008,0.0032004064807904173,0.996145446393763,0.003854553606237137,0.9938083451387183,0.006191654861282445,0.9859125030623833,0.01408749693761675,0.9901538024996337,0.009846197500365805,0.9977046621004947,0.0022953378995046866,0.9777507148106717,0.022249285189327464,0.9641853743580622,0.035814625641938914,0,0,4096
4FGL J1559.7-4518,334.10767,5.8580275,-21.459399227251826,2.5371406,0.16972265,0.16885081,2.0962217,-0.886087,-0.24901043,0.0034605032,-0.6823643,-0.6907696,-0.88343614,-0.9993892,1.6022320121837712,7.16816394019578,UNASS,None,PowerLaw,,,0.9836458109976156,0.0163541890023621,0.8952877720845822,0.10471222791541848,0.9373467993819814,0.062653200618018,0.9375798430086254,0.06242015699137334,0.9203469358606794,0.07965306413932217,0.3559589901998726,0.6440410098001268,0.42286284209836406,0.5771371579016361,0.5832649441753588,0.41673505582464027,0,0,8
4FGL J1600.4+0407,14.461889,39.438065,-22.540589790734767,2.0958805,0.24527177,0.1899502,1.6197525,-0.92307794,0.9999191,0.0018135641,-0.21575862,-0.41547984,-0.9999732,0.99968463,2.7713410692443725,7.8616662131058135,UNASS,None,PowerLaw,,,0.995274752329692,0.0047252476703093975,0.9971633925466885,0.0028366074533120807,0.9964383533460677,0.003561646653932602,0.9696985998202388,0.030301400179761916,0.996634075889527,0.003365924110473174,0.9961019550568208,0.0038980449431776174,0.981580241407624,0.018419758592375997,0.9448158325257622,0.055184167474238856,0,0,0
4FGL J1602.0-4402,335.24945,6.544758,-21.551114053897535,2.4241776,0.15222655,0.0232414,0.39699867,0.9944108,-0.5549835,0.0014125033,-0.8760193,-0.30958137,-0.82934916,-0.6781074,2.997503603821831,7.515286127206825,UNASS,None,PowerLaw,,,0.9934936450295875,0.006506354970434267,0.9931463808710672,0.006853619128931849,0.9979898433778284,0.0020101566221711353,0.9861153828524728,0.013884617147526583,0.9931835905988696,0.0068164094011308185,0.9851224039833852,0.01487759601661507,0.9850785237005845,0.014921476299416458,0.9508730478267331,0.049126952173267784,0,0,4
4FGL J1602.2+2305,38.542816,46.87446,-21.199442319107277,2.1615334,0.22087067,0.6658429,5.898884,0.94594866,-0.7991756,0.006799653,0.09112429,-0.54686344,-0.9143337,-0.996223,2.140896877181623,7.518768170202494,UNASS,None,LogParabola,3FGL J1601.9+2306,,0.08293514502053341,0.9170648549794593,0.4153227789033527,0.5846772210966469,0.25310998723665395,0.7468900127633469,0.2845252974132642,0.7154747025867347,0.03371568568977393,0.9662843143102255,0.24547737156086608,0.754522628439134,0.03919206891053889,0.9608079310894607,0.1346989392718357,0.865301060728164,0,0,0
4FGL J1603.0-4808,332.66714,3.3601122,-21.395099179722994,2.670011,0.2859467,0.3263395,2.7309766,0.9995102,-0.589537,0.016479557,-0.8092117,-0.75691766,-0.920953,-0.0073401234,1.3902569994876355,6.980859075691847,UNASS,None,PowerLaw,,,0.9793691852247828,0.02063081477519902,0.7031458827678535,0.29685411723214744,0.7624079301901768,0.2375920698098236,0.8677563380263251,0.13224366197367488,0.914717911741775,0.08528208825822577,0.068404483116046,0.9315955168839531,0.0762990904208171,0.9237009095791807,0.42279115073441703,0.5772088492655829,0,0,25
4FGL J1603.3-6010,324.73126,-5.699764,-20.67723738756496,2.192396,0.13590313,0.3253995,5.448357,0.9986764,-0.007123626,0.0015825722,-0.4045861,-0.4134357,-0.8111919,-0.86689883,2.120528541083195,7.542474351746511,UNASS,None,LogParabola,3FGL J1603.7-6011,,0.03131089906078884,0.9686891009391969,0.41374184730536945,0.5862581526946298,0.6215261497307937,0.3784738502692068,0.40003474468111144,0.5999652553188883,0.031204146689600854,0.9687958533103985,0.041232238434664586,0.9587677615653355,0.10096425546464012,0.8990357445353606,0.062426171565372,0.9375738284346279,0,0,0
4FGL J1603.6-0451,5.843262,33.647053,-21.942722736864305,2.4324424,0.16786987,0.0963971,1.1309139,0.28973976,-0.6427595,0.0022128122,-0.6417911,-0.70580393,-0.7756417,-0.99975485,2.1751608423282685,7.050519232548388,UNASS,None,PowerLaw,,,0.9968608897681583,0.0031391102318619984,0.9829188570018367,0.017081142998163837,0.9797803892970485,0.02021961070295244,0.9695397121435246,0.030460287856476073,0.94292699646077,0.057073003539230685,0.8900104773754723,0.10998952262452834,0.8660490658604967,0.13395093413950337,0.9390521205080155,0.060947879491983936,0,0,0
4FGL J1604.4-4927,331.96664,2.2187881,-20.532147749984905,2.6212296,0.19562097,0.3057065,3.883009,0.99622864,0.96174914,0.0046267454,-0.60475826,-0.76757145,-0.916292,-0.99973816,2.905107430397435,7.298065530156645,UNASS,None,LogParabola,,,0.828844524388984,0.1711554756110055,0.6832462252696268,0.31675377473037303,0.6402424943243646,0.3597575056756346,0.7814605331746878,0.21853946682531172,0.6562463580696556,0.34375364193034424,0.22102936773190698,0.7789706322680932,0.05741952218563829,0.9425804778143627,0.3195905891327046,0.6804094108672946,0,0,24
4FGL J1606.2-4602,334.48123,4.5538363,-21.704484018914535,2.7705934,0.35946354,0.99996114,4.491089,0.9965921,-0.41516155,0.07898012,-0.8015101,-0.99990964,-0.7642322,-0.8076278,2.224409690819926,6.631878186095825,UNASS,None,LogParabola,,,0.7139486232294987,0.2860513767705026,0.5364636238126146,0.4635363761873856,0.5233068081185471,0.4766931918814533,0.7978213235979487,0.20217867640205178,0.2373167670365599,0.7626832329634402,0.06370558667942315,0.9362944133205765,0.024005253828267254,0.9759947461717327,0.48575783867042577,0.5142421613295745,0,0,2305
4FGL J1608.4+0055,12.428963,36.022476,-22.25025225286194,2.4006772,0.1328471,0.008169418,0.13490672,-0.043933976,-0.5552679,4.269461E-4,-0.66404,-0.786749,-0.9853759,0.849923,2.0998482756824957,7.1058991665706,UNASS,None,PowerLaw,,,0.9951773340479872,0.004822665951997713,0.9980522008061525,0.0019477991938478055,0.9963692882234635,0.0036307117765370382,0.9794318013245293,0.020568198675469614,0.9620023343652276,0.0379976656347715,0.9937020133176484,0.006297986682352417,0.9715077053979537,0.028492294602046164,0.9512904624287002,0.048709537571299914,0,0,5
4FGL J1608.8-4803,333.44836,2.7639558,-21.492368486000167,2.6036603,7.4797897,0.49384922,2.7469447,-0.53064436,-0.6076946,0.013349237,-0.7316346,-0.9756912,0.33257282,-0.999162,1.6788529614582397,7.756646740341106,UNASS,None,PowerLaw,2FGL J1610.1-4808,,0.9771097819182085,0.022890218081810076,0.7961606181296409,0.20383938187035985,0.6129041839044647,0.3870958160955354,0.8279278563054392,0.17207214369456117,0.9159505125970757,0.08404948740292342,0.7202932123727191,0.27970678762728063,0.001667026491835577,0.9983329735081653,0.4928742801948557,0.5071257198051442,0,0,4120
4FGL J1609.3-4326,336.65207,6.0968227,-21.68688137964482,2.5857518,1.5204049,0.4076724,2.2214558,0.99475133,-0.8051928,0.002693097,-0.7620458,-0.7456228,-0.8835553,-0.023313507,2.934740734431634,7.009646483533662,UNASS,None,PowerLaw,,,0.9858250411530203,0.014174958846984506,0.9385844112377094,0.0614155887622908,0.9848441043204103,0.015155895679589899,0.9193427864827293,0.08065721351727151,0.8469188247685712,0.15308117523142972,0.6332639721942414,0.36673602780576015,0.6566194826600206,0.3433805173399802,0.7940073092793664,0.2059926907206329,0,0,9
4FGL J1609.6-4837,333.15045,2.26517,-21.158737188132843,2.691667,0.22811405,0.26104084,2.7218735,-0.85304177,0.9881596,0.0073356368,-0.7476615,-0.8468195,-0.6379592,-0.9999999,2.0447479307183443,7.11660824454895,UNASS,None,PowerLaw,,,0.990384373190183,0.009615626809810582,0.8572856378186468,0.1427143621813538,0.8721452512148602,0.12785474878513936,0.9181555379450299,0.08184446205496976,0.9580071780804266,0.04199282191957286,0.31998936556613755,0.6800106344338623,0.14108077752019643,0.8589192224798035,0.5117484830643669,0.48825151693563296,0,0,8
4FGL J1610.3-5154c,331.00906,-0.22677961,-19.53634472999642,2.558674,0.16568616,0.36267385,5.1040664,-0.9664237,0.9983879,0.0038032874,-0.56124294,-0.7704889,-0.93693125,-0.9995445,0.5504782244116718,7.613878307907741,UNASS,None,LogParabola,,,0.583621141930396,0.4163788580696031,0.10776375515409811,0.8922362448459021,0.00993500208892752,0.9900649979110729,0.36367225383054536,0.6363277461694541,0.22251876687119,0.7774812331288085,0.010712536863543143,0.9892874631364572,1.0572086069039432E-4,0.9998942791393107,0.05295190373921721,0.9470480962607827,0,0,37
4FGL J1611.6-6013,325.45752,-6.432849,-21.92176425311624,2.5157237,0.26387805,0.35374123,2.4259493,0.99939835,-0.84638906,0.0057384083,-0.41975552,-0.71073204,-0.85427475,-0.99909925,1.3400965364330624,7.209142234039156,UNASS,None,PowerLaw,,,0.9938740839387419,0.006125916061275881,0.8216125092545402,0.17838749074545998,0.8358443446220143,0.1641556553779861,0.9513534950291415,0.04864650497085869,0.9784112507429056,0.021588749257095998,0.35928059836060006,0.6407194016394009,0.23907171106968864,0.76092828893031,0.8179184725127084,0.18208152748729153,0,0,4
