GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
303.49277,-46.309517,-23.125751157916767,2.1619933,0.18624283,-0.048444953,0.5844721,-0.9995561,0.98298806,5.906454E-4,-0.7210696,-0.5284373,-0.9997815,0.9988743,2.0794772910408197,7.956606292104761,,4FGL J0046.7-7048,PowerLaw,0.0686881,0.30465266,,,0.0,0.0,0
303.44296,-53.33411,-21.569238935218564,2.172921,0.18599944,0.4204481,4.662656,-1.0,0.9999996,0.004018103,-0.3950667,-0.6484089,-0.77653164,-0.9994747,2.0229174854160976,7.256995936970425,,4FGL J0048.6-6347,LogParabola,0.14073054,0.45898205,3FGL J0048.1-6343,,0.0,0.0,0
123.01039,1.8703632,-21.309051133922058,2.5430565,0.17707159,0.2683908,2.5112798,-0.31627405,0.8034038,0.006916904,-0.49460497,-0.8260148,-0.8538699,-0.9958066,1.42789109545174,7.146285210508804,,4FGL J0052.1+6444,PowerLaw,0.14332691,0.74039036,3FGL J0051.6+6445,,0.0,0.0,0
126.44545,-77.90826,-23.50249585988345,1.6308755,0.57495856,0.8228252,3.2610059,-0.9946857,0.9840503,0.0012606077,0.9972674,0.29255205,-0.5482603,-0.9990795,1.8109311785831124,8.784149358481766,,4FGL J0054.4-1503,LogParabola,0.49600366,0.025422443,,,0.0,0.0,0
123.732124,-17.740635,-23.648917686613007,1.7253089,0.49950203,0.69764805,2.4224527,0.9939366,-0.99999803,0.0025247936,0.9998977,-0.22985367,-0.22451271,-0.68203306,2.14278634280459,9.002171057568667,,4FGL J0055.7+4507,PowerLaw,0.33470166,0.07175703,,,0.0,0.0,4096
123.49776,5.3709292,-22.25111343986072,2.5709317,0.23838879,0.04185547,0.4908316,0.13414398,-0.67740947,0.0017925827,-0.86319375,-0.66661555,-0.86323774,0.084585,2.33556821971328,7.301413829847729,,4FGL J0057.5+6814,PowerLaw,0.10545946,0.1671575,,,0.0,0.0,4120
123.66344,0.57604647,-22.1685498122365,1.7124556,0.22456282,0.22468486,1.6161058,-0.71707606,-0.8371912,4.5079456E-4,-0.7116015,-0.31761372,-0.3711643,0.08081644,2.6798512551701554,9.475284843306696,,4FGL J0057.9+6326,PowerLaw,0.108552314,0.33016366,,,0.0,0.0,0
123.53306,6.396929,-22.090352845950456,2.5431721,0.20424488,0.13368385,1.1993765,0.9741747,-0.71245724,0.004218416,-0.6657675,-0.7957573,-0.99998546,0.9998744,2.2059646051109136,7.198146254041946,,4FGL J0058.1+6915,PowerLaw,0.120523505,0.43117562,,,0.0,0.0,8
299.2362,-71.02254,-23.2099529908916,2.0539675,0.4161444,0.049079645,0.20585676,0.9807037,-0.85703224,0.0020297575,-0.23466267,-0.44258913,-0.665,-0.05534164,2.7938329569792617,7.988445251460622,,4FGL J0058.3-4603,PowerLaw,0.20070432,0.54144263,,,0.0,0.0,0
300.73035,-60.18506,-21.304909747256126,2.5166073,0.075373635,0.20091991,4.463551,-0.20596762,-0.55228287,0.0026750546,-0.688163,-0.8308571,-0.8772234,-0.9994943,3.831945713823259,6.615728180561991,,4FGL J0059.4-5654,LogParabola,0.05808921,0.19064029,3FGL J0059.1-5701,,0.14,0.0,0
