Source_Name_3FGL,Flux_Density_3FGL,Unc_Energy_Flux100_3FGL,PowerLaw_Index,Signif_Curve_3FGL,var_3FGL,hr12_3FGL,hr23_3FGL,hr34_3FGL,hr45_3FGL,GLAT_3FGL,Category_4FGL
3FGL J0601.5+2309,-27.360008357729242,-26.928999232300594,2.484669,0.43426673055754395,3.8241905277912625,-0.6780363081264914,-0.665413597280059,-0.7934080864669532,-0.7343855511864937,0.1465086,AGN
3FGL J0605.0-0000,-30.258593273360457,-27.345749320862986,2.008549,0.22786255926090063,3.9488381351766995,-0.28309637566458956,-0.5725710755266692,-0.47627232740447517,-0.38921242324820665,-10.302232,AGN
3FGL J0623.1-4143,-29.53781521115333,-27.88565378634771,2.2900796,-0.6139750116953873,3.4577963427412914,-0.9178029938819195,0.24280270313850863,-0.6370885777240841,-0.7686549406792701,-22.665697,AGN
3FGL J0638.4+5704,-25.520931317135013,-27.9294929221002,2.927151,0.35770409418190335,4.122569951591858,-0.8845666490745744,-0.8077782072109592,-0.21123896242128368,-0.8525412852487604,20.810717,AGN
3FGL J0644.6+6035,-28.12659284088819,-27.87306713605318,2.2764657,0.05741646942962959,4.0990945133217185,-0.8162257518858936,-0.5032566306097491,-0.5160005793528826,-0.4628879915814917,22.594389,AGN
3FGL J0647.8+1751,-26.852528787434597,-27.202762563362345,2.7028124,1.2423765588593814,3.716793457813742,-0.6101823817556127,-0.8949053358124048,-0.45679447794949535,-0.6524532042513629,7.268618,AGN
3FGL J0650.9+6524,-27.33314277752158,-28.04574089166966,2.5400684,-2.607273978276101,3.8531117150208445,-0.8324936377297658,-0.6059805749532393,-0.6098149205370507,-0.8838774144739625,24.45203,AGN
3FGL J0716.0-4525,-30.142196302423276,-27.756129385721447,2.2582495,-2.7436328201526177,3.644137808622017,-0.8822537063956676,-0.5687212348633901,-0.6657158670291284,-0.4621490012325013,-14.9429865,AGN
3FGL J0721.5-0221,-31.31957634260988,-27.61464012005611,2.0026686,-2.0920608310362137,3.7010887168068693,0.8035768872804164,-0.44035589225446997,-0.5581615111712227,-0.39029433826530663,5.5968394,AGN
3FGL J0725.8-3532,-29.095952533113255,-27.44400716897079,2.3585443,0.25735450578657554,3.5723751318050567,-0.8115409727663679,-0.69082224917392,-0.6237116009592443,-0.11480575887986005,-9.017494,AGN
3FGL J0731.8-3010,-33.475962248412976,-27.561941421544148,1.6692368,-0.3528871979428958,3.4720673791341223,-0.9998970361061206,0.9998946320336461,-0.4191134886896623,0.18706682342479275,-5.3990955,AGN
