Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,Flags,Category_4FGL,Class_4FGL
4FGL J0009.2+6847,119.10994,6.235327,-21.006518903532992,2.6165042,0.18635528,0.44023114,4.4789386,-0.46070874,-0.3841832,0.007880902,-0.71955353,-0.86081463,-0.9272294,-0.9983699,1.4900501056673268,7.061216435428492,LogParabola,0.17097901,0.58146274,3FGL J0008.5+6853,0,UNASS,None
4FGL J0009.2+1745,108.90927,-43.96513,-22.677626051553574,2.5332298,0.28011072,0.24630912,1.7144711,-0.71931475,-0.6300978,0.0066710543,-0.58815855,-0.8256248,-0.99990636,0.6616946,2.588713472670378,6.747864539823314,PowerLaw,0.19021377,0.5856498,,0,UNASS,None
4FGL J0009.7-1418,83.705765,-73.91203,-22.157037675443156,2.3998108,0.120929815,0.075080775,1.0954866,0.999996,-0.3714634,0.0014970663,-0.80372804,-0.7190192,-0.372177,-0.99980676,2.503323679093137,6.796214706048908,PowerLaw,0.07368669,0.17261867,3FGL J0010.5-1425,0,UNASS,None
4FGL J0017.1-4605,320.38864,-69.86521,-22.959625841490908,2.8010092,0.1402191,-0.05767152,0.7361713,0.98915803,-0.76173323,0.0015201874,-0.7686702,-0.6768366,-0.9451816,-0.9954987,1.4163705783458544,6.176935306620264,PowerLaw,0.063843355,0.19430096,,0,UNASS,None
4FGL J0022.0-5921,309.86963,-57.381134,-22.046813745862547,2.537588,0.08919102,-0.0057952376,0.10795683,-0.41060922,-0.75831926,0.0011116086,-0.7182757,-0.6109099,-0.7336397,-0.99996674,3.455568768737579,6.596473443229272,PowerLaw,0.04666388,0.13310328,,2,UNASS,None
4FGL J0023.6-4209,321.8499,-73.93347,-22.85123680258258,1.9954411,0.17606138,-0.031098245,0.4431692,0.94646424,-0.83410853,3.7627824E-4,-0.29289755,-0.5566745,-0.9994473,0.998512,2.9215249676188004,8.086321963732122,PowerLaw,0.062351476,0.23858924,,0,UNASS,None
4FGL J0024.1+2402,114.974655,-38.41322,-22.358295438307277,2.0550044,0.1697117,0.01731128,0.24656475,-0.45307314,0.98913324,0.0013225168,-0.80156136,-0.12376198,-0.42635804,-0.9996665,2.931890429439731,7.914867878695587,PowerLaw,0.07409332,0.34101403,,0,UNASS,None
4FGL J0025.4-4838,314.39056,-67.90782,-22.420418819308413,2.120224,0.24728215,0.19902249,1.3044256,-0.87598664,-0.6207203,0.0022556304,-0.2265852,-0.7316914,-0.39647144,-0.99995095,2.31593617826415,7.766626791244769,PowerLaw,0.16308129,0.46133882,,16,UNASS,None
4FGL J0026.1-0732,104.761604,-69.51759,-22.60029387887458,2.0678716,0.23553458,0.007497286,0.0763394,0.96486175,-0.57855695,0.0015362805,-0.7516996,-0.0845608,-0.9998975,0.99935234,0.226575935949581,7.964705637149173,PowerLaw,0.097587176,0.4889399,,0,UNASS,None
4FGL J0031.0-2327,70.318275,-84.105675,-22.51650905424902,2.1938756,0.3009217,0.6046377,2.8907936,-0.99996674,0.9996977,0.008457327,-0.39504796,-0.6783464,-0.9999992,0.99995095,1.7162202797881412,7.3377227376795675,PowerLaw,0.32244062,0.86579686,3FGL J0031.2-2320,0,UNASS,None
4FGL J0031.5-5648,308.3834,-60.11082,-22.727459726786556,1.9233072,0.23820475,0.1205033,1.1865219,-0.91591537,-0.6519288,0.0021607885,-0.29841223,-0.49303713,-0.22535305,-0.9999604,2.457456272999204,8.159161241446874,PowerLaw,0.1262378,0.4946759,,0,UNASS,None
4FGL J0034.6+6438,121.13443,1.8261667,-21.096958646631943,2.4075618,0.1477125,0.20903453,2.615125,-0.9846532,0.9999429,0.002399671,-0.64227164,-0.7263853,-0.66132796,-0.9997937,1.2223588113635582,7.697565905087321,PowerLaw,0.10449372,0.35074928,,0,UNASS,None
4FGL J0035.2-1739,100.58408,-79.825195,-23.092504135077853,1.7786542,0.26173517,0.048505876,0.45255506,0.9326504,-0.79339254,8.4624975E-4,-0.39450625,-0.30055183,-0.5851418,-0.10119126,0.7110725856599884,8.642798248476526,PowerLaw,0.11647171,0.41775858,,0,UNASS,None
4FGL J0037.2-2653,36.389965,-86.83259,-23.04812643715681,2.4598632,0.23835601,0.060050935,0.44429338,0.9991169,-0.8291821,0.0040453775,-0.6816895,-0.44899788,-0.99999946,0.99332017,1.2934122840100846,6.944547083184426,PowerLaw,0.12949081,0.4551951,,0,UNASS,None
4FGL J0039.1+6257,121.53531,0.12189149,-20.026877871609408,2.3489873,0.13300067,0.53318614,6.9901166,-0.19248404,-0.54192173,0.0016059215,-0.14916933,-0.6351463,-0.9616537,-0.81124747,2.1936764497222048,7.350312875640863,LogParabola,0.1098107,0.20189956,3FGL J0039.3+6256,0,UNASS,None
4FGL J0039.7+4203,120.615395,-20.753937,-22.60178737634129,2.2988558,0.20404856,0.0159863,0.1962124,0.43188727,-0.2648368,0.0015614355,-0.8281904,-0.47891375,-0.4802665,-0.99996984,2.3294634626442035,7.544952814846263,PowerLaw,0.09817626,0.33596587,,0,UNASS,None
4FGL J0040.7-7157,304.10223,-45.138298,-22.292531563509353,1.9914885,0.2800939,0.4993468,3.0711434,-0.8434966,-0.9964569,0.0046604024,0.9799142,-0.4562085,-0.5855802,-0.9984731,0.7171375260198484,8.041276659364733,LogParabola,0.23661324,0.8224297,,0,UNASS,None
4FGL J0045.9-2021,112.1175,-83.1215,-22.620763748918666,1.9567591,0.1966536,0.04939816,0.6343765,-0.94050235,0.99997526,9.43974E-4,-0.6532472,-0.49353585,-0.31714457,-0.75355726,2.154649261721357,8.007510247875791,PowerLaw,0.08638931,0.28069752,,0,UNASS,None
4FGL J0046.7-7048,303.49277,-46.309517,-22.988642087184946,2.0708344,0.19586968,-0.016095472,0.19607288,-0.9972104,0.9210557,5.7204487E-4,-0.6669575,-0.55773884,-0.9991605,0.9961869,1.4303295715173485,8.136749802712465,PowerLaw,0.074087225,0.2742608,,0,UNASS,None
4FGL J0048.6-6347,303.44296,-53.33411,-21.534258359958486,2.1754348,0.18115535,0.3982205,4.3678927,-0.9999243,0.99952316,0.004762459,-0.40418828,-0.66950274,-0.7854947,-0.99993813,1.5794494143098416,7.201727104400953,LogParabola,0.14414299,0.5256735,3FGL J0048.1-6343,0,UNASS,None
4FGL J0052.1+6444,123.01039,1.8703632,-21.280574677622546,2.5156395,0.17514867,0.2364143,2.4070873,-0.99547064,0.9997513,0.006582201,-0.46704617,-0.84611344,-0.7719512,-0.99986583,1.1287958486722862,7.412306338778881,PowerLaw,0.168674,0.6468435,3FGL J0051.6+6445,512,UNASS,None
4FGL J0055.7+4507,123.732124,-17.740635,-23.249554263692776,1.771013,0.4425595,0.5161522,2.2921727,0.9999096,-0.9999997,0.009096475,0.9999886,-0.43777117,-0.27764365,-0.6540821,1.4735142432205657,8.777560339897585,PowerLaw,0.34343994,2.5597537,,0,UNASS,None
4FGL J0057.5+6814,123.49776,5.3709292,-22.02819513562857,2.53272,0.17592308,2.597204E-4,0.0,-0.9985833,0.9905463,0.0014255025,-0.8752328,-0.5832085,-0.8921638,0.18170558,1.6527153858906853,7.379573198906752,PowerLaw,0.071244925,0.16311759,,16,UNASS,None
4FGL J0057.9+6326,123.66344,0.57604647,-22.361689652467856,1.6726426,0.31574553,0.37038267,2.0507538,-0.75293905,-0.85403293,6.5384235E-4,-0.5799879,-0.4396499,-0.14850637,-0.1129792,2.4351019530956663,9.583817338051643,PowerLaw,0.17205386,0.4585714,,0,UNASS,None
4FGL J0058.1+6915,123.53306,6.396929,-22.001673715662097,2.552665,0.17370105,0.032970946,0.43593243,0.97341037,-0.78699374,0.0016776033,-0.63023823,-0.7355421,-0.99754685,0.97655207,2.209425537780697,7.49862186272783,PowerLaw,0.07843356,0.28971106,,8,UNASS,None
4FGL J0058.3-4603,299.2362,-71.02254,-23.004372888102978,2.098462,0.19162391,-0.059272204,0.6387118,0.99994236,-0.6631517,9.6362346E-4,-0.7699233,-0.20665368,-0.6204807,-0.11483538,2.5344969292849924,7.945294147222112,PowerLaw,0.07373702,0.39477935,,0,UNASS,None
4FGL J0059.4-5654,300.73035,-60.18506,-21.512549583988594,2.514828,0.10427359,0.23726532,3.9829772,0.18248886,-0.49821907,0.0033710634,-0.73032105,-0.8154577,-0.8780099,-0.9990394,2.774226032010459,6.754670414305403,LogParabola,0.08032021,0.24602313,3FGL J0059.1-5701,0,UNASS,None
4FGL J0102.0-6240,300.84314,-54.403248,-22.769991502603073,2.0030367,0.22303848,0.09996205,0.9853003,0.99997556,-0.64813334,0.00205481,-0.4662125,-0.30778533,-0.7820471,-0.4998326,2.135018719346306,8.01545336648744,PowerLaw,0.12274367,0.43767342,,0,UNASS,None
4FGL J0102.1+4458,124.92797,-17.86201,-22.59245939806296,2.0214314,0.46559122,0.7738542,2.5300887,-0.9969884,0.8578584,0.0021675923,-0.7280103,-0.17031722,-0.51491535,-0.9995351,2.122813763659642,8.085419692550937,PowerLaw,0.3087861,0.0383794,3FGL J0102.1+4458,4,UNASS,None
4FGL J0102.3+1000,127.39341,-52.764793,-22.361695724008534,1.9644006,0.32826358,0.3959765,2.3007338,-0.45761946,-0.9987252,0.0044156043,0.97399586,-0.34125528,-0.52482027,-0.99999535,1.3216654275700452,8.392642788698584,PowerLaw,0.24422736,1.0253317,,0,UNASS,None
4FGL J0104.6-0818,132.989,-70.92556,-22.654554832855272,2.3734674,0.3623292,0.06870431,0.3754106,0.07398744,-0.9189969,0.004335815,-0.2467782,-0.59371513,-0.99938387,-0.6538384,1.7716602529250172,7.1010431519914645,PowerLaw,0.19428208,0.6068921,,0,UNASS,None
4FGL J0112.0+3442,127.72831,-27.977003,-22.62737341436303,2.3373687,0.39924687,0.34205857,1.6276882,0.92447466,0.30099624,0.0055140266,-0.55669886,-0.6224094,-0.999968,-0.990754,1.423588526085956,7.162585154165682,PowerLaw,0.2753685,0.67387706,,1,UNASS,None
4FGL J0115.4-2917,236.6043,-84.2885,-23.024994052860183,1.8682702,2.775865,0.39544877,1.5024282,-0.9523308,0.9623091,0.009585362,-0.77913606,0.08954483,-0.24720696,-0.9995907,1.9502013187737504,8.465351325538226,PowerLaw,1.574489,3.3436332,,0,UNASS,None
4FGL J0116.8+6914,125.19039,6.4810796,-21.968463899736257,2.8148296,0.25752681,0.75626093,4.830724,-0.7031135,-0.29255804,0.0015619874,-0.8535148,-0.99941474,-0.999998,0.9999862,0.36191915696062593,6.440024105751272,LogParabola,0.19819796,0.21403383,3FGL J0116.8+6913,0,UNASS,None
4FGL J0118.3-6008,296.8381,-56.66605,-23.05538456288136,2.1720219,0.38724738,0.49745554,2.329121,-1.0,0.9999988,0.007836868,-0.42265618,-0.70876706,-0.85307753,-0.9998646,2.354511736463963,7.564441929575974,PowerLaw,0.34034577,0.98096514,,0,UNASS,None
4FGL J0120.1+0505,136.17094,-57.039967,-22.811411691718867,2.5491157,0.1433962,-0.11327896,1.6264851,0.2700064,-0.9429898,8.919326E-4,-0.3045625,-0.6063143,-0.7101936,-0.9999973,2.183941926292892,6.928124510433743,PowerLaw,0.04926828,0.3079842,,0,UNASS,None
