Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags
-29.584304518521254,-27.47026531757198,2.120233,1.0718372973946666,3.6162894004776023,0.2678552,-0.31657958,-0.5466611,-0.99998426,-11.11182,OTHER,glc,3FGL J1807.5-4343,PowerLaw,1920.0729,NGC 6541,0
-26.99936022251363,-25.703360670769392,2.609222,1.60282256571053,3.9640721443117686,-0.62606585,-0.3415982,-0.7477873,-0.78529674,0.038044583,OTHER,glc,3FGL J1808.5-1952,LogParabola,1877.3215,2MS-GC01,12
-30.841118245225662,-25.769375275491964,2.0963523,-1.8434083967854498,3.8264320724326706,0.97801495,-0.84339005,-0.5070752,-0.64164895,0.045541115,OTHER,spp,3FGL J1810.1-1910,PowerLaw,6945.693,,20
-30.02103920672587,-25.73757601701016,2.2351284,0.8764435331520886,3.8552797060424178,-0.7211072,0.7342057,-0.5618486,-0.76376873,-0.32725322,OTHER,spp,3FGL J1811.3-1927c,PowerLaw,4510.5044,,288
-28.911651261427274,-25.931675527806,2.271087,1.2045692688997711,4.155879988110329,0.6783398,-0.7061181,-0.53298604,-0.76888496,-0.6930711,OTHER,spp,3FGL J1817.2-1739,PowerLaw,2911.374,,1
-25.41448444172002,-25.627108096466298,2.7067294,2.1244699554264654,4.653599087574674,-0.15093073,-0.6951703,-0.77296925,-0.8386245,0.009763544,OTHER,spp,3FGL J1818.7-1528,LogParabola,1195.2727,,64
-30.691645860838,-25.166178220416775,1.6812232,1.4065775481585778,3.5713098399145142,-0.3891793,0.8021683,0.50494844,-0.14119558,-0.45345327,OTHER,PWN,3FGL J1824.5-1351e,LogParabola,27387.225,HESS J1825-137,0
-20.963851640130994,-25.759055525408016,2.379465,1.6739589394554089,4.253641844056706,-0.6164775,-0.71515054,-0.8068015,-0.79401475,-1.2937952,OTHER,HMB,3FGL J1826.2-1450,LogParabola,280.32834,LS 5039,0
-24.338476599314355,-25.840347960577144,2.2390633,1.385377340557674,4.578165916913683,-0.18518706,-0.7283336,-0.8981539,-0.9999291,-0.13901766,OTHER,spp,3FGL J1828.4-1121,LogParabola,638.5214,,269
-29.070726969014277,-26.078463027834722,2.245306,1.2093777830072556,3.849969187825251,-0.3019096,-0.40068495,-0.7332978,-0.69110656,-1.2179761,OTHER,spp,3FGL J1829.7-1304,PowerLaw,2963.7612,,1
-29.991493134713856,-25.650429713089675,2.106443,0.22677645162715765,4.407615299546893,-0.25163302,-0.64236116,-0.70386136,-0.42125773,0.5918961,OTHER,spp,3FGL J1833.9-0711,PowerLaw,5840.978,,276
-27.34842099045049,-25.846293587864416,2.1708548,-0.42985620912346545,4.04472492014354,-0.25492585,-0.5535126,-0.5177915,-0.6901016,-0.22607367,OTHER,snr,3FGL J1834.5-0841,PowerLaw,2205.238,W 41,4
-30.355894813686316,-25.532026820610657,2.0483415,0.018748687390497648,3.7859495208707665,-0.84944916,0.3016721,-0.45841366,-0.5014257,0.5228004,OTHER,spp,3FGL J1834.6-0659,PowerLaw,7926.3135,,0
-27.472501401305117,-27.65895696948022,2.0956552,1.5191602998398923,3.618114517077455,-0.2787988,-0.46226394,-0.8003461,-0.9999222,-11.371728,OTHER,glc,3FGL J1835.7-3258,LogParabola,1174.339,NGC 6652,0
-29.514097342544883,-25.29490364050319,1.9663213,-1.319011410568972,4.106123054450243,0.9925079,-0.5999014,-0.63155895,-0.26356578,0.13587537,OTHER,PWN,3FGL J1836.5-0655e,PowerLaw,8162.2485,HESS J1837-069,0
-26.77741406579591,-25.80460989574668,2.4159951,1.3425698601964062,3.40578590088954,-0.575128,-0.7660966,-0.71474457,-0.84799916,0.5824529,OTHER,spp,3FGL J1840.1-0412,PowerLaw,1427.1682,,0
-29.45356632221771,-25.27471365053454,1.8055826,1.187254042528423E-4,4.462646544837071,0.35122478,-0.11433588,-0.45122457,-0.4970445,-0.19858986,OTHER,PWN,3FGL J1840.9-0532e,PowerLaw,9704.781,HESS J1841-055,0
-28.18838307584063,-25.74523393815127,2.358511,1.5458851316945252,3.8091564780246534,0.9698803,-0.23057775,-0.6158692,-0.5839778,0.014322019,OTHER,snr,3FGL J1849.4-0057,LogParabola,3460.7288,3C 391,0
