Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,Missing_Values_Flag
4FGL J1640.3-4917,-0.9984776354881794,-1.7956508,-25.1595559,-26.740702,7.4951047,2.3756144,0.13079117,0.19512989,3.2092888,2.51424589,0.81915414,-0.73177266,-0.6250344,-0.64590484,-0.80086166,-0.9999593,UNAS,None,3FGL J1640.6-4917,,0,0.30179774141019855,0.19314266660995374,0.6982022585898014,0.19314266660995374,0.6870361891541186,0.3004551800059747,0.31296381084588143,0.30045518000597465,0.5346098616723196,0.09526300958896428,0.46539013832768034,0.09526300958896428,0.5464518994259159,0.08539413004955089,0.4535481005740842,0.08539413004955089,0
4FGL J1640.9-5853,-0.6594355676079473,-8.190763,-26.1661555,-27.7702691,6.95806482,2.3753822,0.22681552,0.35998458,2.8159873,1.96643517,0.7362955,-0.3076018,-0.643205,-0.8843062,-0.5316535,-0.99633616,UNAS,None,,,1,0.657528291392078,0.20739596940263255,0.342471708607922,0.20739596940263255,0.7191910947126926,0.24642515451417157,0.2808089052873074,0.24642515451417157,0.5114886224943246,0.1065199295188431,0.48851137750567536,0.10651992951884312,0.6126286710339334,0.09071285979394755,0.3873713289660665,0.09071285979394755,0
4FGL J1641.3-2908,0.969704721536911,11.295538,-25.4902741,-27.558664,6.52120524,2.49892,0.12369122,0.35505578,4.642889,1.52736704,0.026295228,-0.50300777,-0.7571204,-0.86561435,-0.99993163,-0.9985176,UNAS,None,,,0,0.11759533620658542,0.1183751049342626,0.8824046637934145,0.11837510493426259,0.06267384149926825,0.12959538410452767,0.9373261585007318,0.12959538410452767,0.34672779307178747,0.09050618861993545,0.6532722069282125,0.09050618861993545,0.02085396857255582,0.008052135624610586,0.9791460314274442,0.008052135624610587,0
4FGL J1641.5+2017,0.5932887453468931,37.33094,-27.7632344,-28.7804128,9.8076096,1.5883775,0.21222216,-0.03882354,0.41816846,1.78953956,-0.3716482,0.76510495,-0.39776862,-0.4183297,-0.3973844,-0.18254218,UNAS,None,,,0,0.9995070601349357,4.2460459557840666E-4,4.929398650642327E-4,4.2460459557840634E-4,0.9988089888703084,0.008471351294925135,0.0011910111296916078,0.008471351294925137,0.9978555686263638,0.0026209225703765536,0.002144431373636114,0.0026209225703765476,0.986995961726971,0.007776971647387501,0.013004038273029032,0.0077769716473875,0
4FGL J1642.1-5128,-0.16693713711901084,-3.4573317,-25.7365633,-26.8633752,6.89400561,2.921717,0.29358304,0.52423203,3.5493407,1.29867303,-0.34366593,0.93511,-0.75897604,-0.9170662,-0.90658855,-0.9856951,UNAS,None,,,24,0.3859928948007234,0.2969318720367122,0.6140071051992766,0.2969318720367122,0.36060641950554484,0.3308075056576112,0.6393935804944553,0.3308075056576112,0.2837506610405825,0.07843448560847187,0.7162493389594176,0.07843448560847185,0.005937071957698346,0.0028844995595234393,0.9940629280423016,0.0028844995595234384,0
4FGL J1643.1+1436,0.6839058051507886,34.91679,-26.777478,-28.2218845,6.46874658,2.5292346,0.27405506,0.21015592,1.3570917,1.06138704,0.9809914,-0.7341502,-0.72321856,-0.6914132,-0.999929,0.99932724,UNAS,None,,,4096,0.9923642958019157,0.013965705287574242,0.0076357041980844136,0.013965705287574244,0.8246304652696868,0.2296453429716146,0.17536953473031322,0.2296453429716146,0.8765693686657431,0.05431380805779105,0.12343063133425687,0.054313808057791055,0.6950493225543939,0.11696265843146463,0.30495067744560606,0.11696265843146463,0
4FGL J1643.3-3148,-0.44810177910023014,9.242311,-26.5441832,-28.2685888,7.55579253,1.9531025,0.20764081,0.43004197,3.5672767,2.49605008,0.99860334,-0.74879616,-0.158724,-0.46603566,-0.9217649,-0.9996723,UNAS,None,,,0,0.8348051697260502,0.14031840102709747,0.16519483027394966,0.14031840102709747,0.7558767206117505,0.2521787277987188,0.24412327938824963,0.2521787277987188,0.5329645793280713,0.11432720990695838,0.4670354206719287,0.11432720990695838,0.7029919586280574,0.060143281878597694,0.2970080413719426,0.0601432818785977,0
4FGL J1644.1-3055,0.3219790590774794,9.69639,-26.150073,-27.6183731,6.71217727,2.615783,0.23574568,0.15295503,1.190334,1.94768262,-0.97565174,0.9983108,-0.88406736,-0.46150517,-0.86564624,-0.9991867,UNAS,None,,,16,0.8632607581332263,0.14768482914451248,0.13673924186677364,0.14768482914451248,0.853255943099705,0.20048689498931385,0.14674405690029493,0.20048689498931388,0.7559622774485645,0.08877594208303796,0.2440377225514354,0.08877594208303796,0.8770987843688447,0.05320128594957998,0.12290121563115532,0.05320128594957998,0
4FGL J1644.1-5009,-0.9819411139392129,-2.8274007,-25.5261701,-26.9374487,7.15980473,2.6491368,0.29780996,0.4221078,2.7858195,2.66599088,0.07519128,0.086804435,-0.6037909,-0.83961,-0.9982761,0.9085056,UNAS,None,3FGL J1643.6-5002,,12,0.5813577319605281,0.22925443499521864,0.418642268039472,0.22925443499521864,0.7764718156860849,0.26791119632688654,0.22352818431391505,0.26791119632688654,0.5389028706150086,0.09173626154863966,0.46109712938499137,0.09173626154863966,0.6038086356855916,0.11582199461633587,0.39619136431440843,0.11582199461633587,0
4FGL J1644.8+1850,0.9023678112344788,36.10579,-26.7431948,-28.4825554,7.81829464,1.8527706,0.22934847,0.26224527,2.3704703,2.22376147,-0.99549025,0.8014694,-0.28083444,-0.23733678,-0.8260206,-0.5810245,UNAS,None,,,4,0.9652751847018571,0.03291853079700766,0.03472481529814291,0.03291853079700766,0.9936094600487076,0.018896060496984623,0.00639053995129238,0.018896060496984623,0.8979527132436589,0.04354959135304644,0.10204728675634114,0.04354959135304644,0.9253714161973856,0.02920701341343425,0.07462858380261436,0.029207013413434242,0
