Source_Name_3FGL,Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J1621.1-2331,-24.90139763,-27.17040882,2.4982846,1.654494525,4.05693213,-0.479881559,-0.805509395,-0.897575004,-0.481611004,18.402317,AGN,agn,510.748,LogParabola,PKS 1617-235,0.921695171,0.078304829,0.670247263,0.329752737,0.597573369,0.402426631,0.832130189,0.167869811,318,2048
3FGL J1625.7-2527,-24.16594659,-26.45786237,2.2317882,2.163608847,6.985312069,-0.489677637,-0.660357462,-0.696704227,-0.770966219,16.321926,AGN,fsrq,755.2715,LogParabola,PKS 1622-253,0.99883061,0.00116939,0.958301512,0.041698488,0.993046739,0.006953261,0.867238324,0.132761676,302,0
3FGL J1626.0-2951,-26.01307788,-26.84090985,2.507035,1.478126226,4.656582291,-0.450506185,-0.751900256,-0.642643089,-0.969956484,13.316855,AGN,FSRQ,938.0605,LogParabola,PKS 1622-29,0.998291062,0.001708938,0.800389021,0.199610979,0.821306168,0.178693832,0.93087325,0.06912675,299,0
3FGL J1630.6+8232,-26.51342631,-27.72555446,2.0430632,1.385306173,4.071398469,-0.28792185,-0.66012106,-0.640160462,-0.736310999,31.250645,AGN,rdg,777.0882,LogParabola,NGC 6251,0.920512342,0.079487658,0.713011524,0.286988476,0.670512706,0.329487294,0.904144879,0.095855121,296,0
3FGL J1635.2+3809,-23.82948043,-26.61591831,2.4141037,2.236616109,7.751444565,-0.542484163,-0.714299839,-0.743542278,-0.849013307,42.339523,AGN,FSRQ,701.19104,LogParabola,4C +38.41,0.987109444,0.012890556,0.982565983,0.017434017,0.998376459,0.001623541,0.892000814,0.107999186,293,0
3FGL J1640.6+3945,-26.37569022,-26.57878375,2.2849202,1.555503027,5.803225315,-0.250267711,-0.671714643,-0.620783117,-0.823444935,41.395203,AGN,FSRQ,1222.247,LogParabola,NRAO 512,0.99608801,0.00391199,0.976937095,0.023062905,0.984598858,0.015401142,0.843663929,0.156336071,300,0
3FGL J1709.6+4318,-23.72500596,-27.2162406,2.1586394,1.384890827,7.595718898,-0.52976797,-0.646921448,-0.651735705,-0.782604853,36.22277,AGN,fsrq,394.57343,LogParabola,B3 1708+433,0.999458536,5.41E-04,0.990329452,0.009670548,0.999880839,1.19E-04,0.990298183,0.009701817,278,0
3FGL J1715.7+6837,-27.32073718,-27.85550118,2.1395159,1.337366635,4.762683207,0.15505426,-0.687148851,-0.661191349,-0.595054514,33.788246,AGN,fsrq,991.4529,LogParabola,S4 1716+68,0.999846923,1.53E-04,0.955882441,0.044117559,0.963451959,0.036548041,0.965487754,0.034512246,308,0
3FGL J1727.1+4531,-23.9813717,-27.68699683,2.3465772,1.33602704,5.620667968,-0.636081555,-0.703613246,-0.794622921,-0.999938718,33.327873,AGN,fsrq,333.07434,LogParabola,S4 1726+45,0.99915874,8.41E-04,0.961945892,0.038054108,0.979140577,0.020859423,0.976143036,0.023856964,307,0
3FGL J1733.0-1305,-24.00780946,-26.71993068,2.2446742,1.325623763,6.944528095,-0.576019129,-0.692354869,-0.62557096,-0.755216151,10.812915,AGN,FSRQ,516.3397,LogParabola,PKS 1730-13,0.999396981,6.03E-04,0.98202586,0.01797414,0.999618612,3.81E-04,0.983253233,0.016746767,319,0
3FGL J1751.5+0939,-24.9970675,-27.0094607,2.1183639,1.680926172,5.87143722,-0.350587016,-0.673829135,-0.613373736,-0.77906232,17.652304,AGN,bll,681.0669,LogParabola,OT 081,0.999509502,4.90E-04,0.955010462,0.044989538,0.983754598,0.016245402,0.947353585,0.052646415,300,0
3FGL J1802.6-3940,-23.77022046,-26.61847676,2.1502607,1.836390839,7.391506722,-0.495572863,-0.669737966,-0.633435913,-0.769631133,-8.424904,AGN,fsrq,580.3602,LogParabola,PMN J1802-3940,0.998039216,0.001960784,0.960737121,0.039262879,0.999236089,7.64E-04,0.968050848,0.031949152,314,0
3FGL J1813.6+3143,-26.83315588,-27.52246066,1.9108732,1.363389537,4.234743838,-0.333494424,-0.495088632,-0.722309448,-0.524401897,21.34975,AGN,bll,919.2279,LogParabola,B2 1811+31,0.980372221,0.019627779,0.821860967,0.178139033,0.811749122,0.188250878,0.945342354,0.054657646,313,0
3FGL J1816.9-4944,-27.93502791,-27.79393871,1.9436818,1.377613542,4.429556481,0.977525439,-0.424812574,-0.684302929,-0.999825124,-15.173195,AGN,bcu,1336.6085,LogParabola,PMN J1816-4943,0.913006122,0.086993878,0.574713569,0.425286431,0.761159087,0.238840913,0.576489907,0.423510093,309,4
3FGL J1825.2-5230,-25.94153144,-27.35221325,2.017419,1.351479858,5.737568446,-0.280539786,-0.636407282,-0.691234622,-0.646621469,-17.464863,AGN,bcu,714.6961,LogParabola,PKS 1821-525,0.999663811,3.36E-04,0.973798687,0.026201313,0.994091114,0.005908886,0.974455069,0.025544931,311,0
