Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,class,CLASS1_1,Source_Name_1,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,Flags,Source_Name,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Category_Prob
-34.5983605,-27.6653678,1.3335099,-0.305934302,3.39750775,0.966020177,-0.74059564,-0.57030539,0.537221397,-8.071238,AGN,bcu,3FGL J0047.9+5447,21680.848,PowerLaw,1RXS J004754.5+544758,0,3FGL J0047.9+5447,0.898392975,0.101607025,0.862804603,0.137195397,0.841145405,0.158854595,0.878183486,0.121816514,223,AGN
-27.1819752,-27.5981672,2.33307,0.965056629,5.48339238,-0.428990101,-0.707750181,-0.594473584,-0.849520392,-40.264175,AGN,fsrq,3FGL J0048.0+2236,908.46466,PowerLaw,NVSS J004802+223525,0,3FGL J0048.0+2236,0.889345002,0.110654998,0.848012225,0.151987775,0.833866167,0.166133833,0.868216644,0.131783356,215,AGN
-30.7799706,-27.6445679,1.8768142,-1.52402308,4.21011877,-0.484036243,-0.524301672,-0.5121685,-0.157812219,-23.023993,AGN,bll,3FGL J0048.0+3950,3476.9182,PowerLaw,B3 0045+395,0,3FGL J0048.0+3950,0.899018091,0.100981909,0.864757279,0.135242721,0.83509671,0.16490329,0.87574273,0.12425727,213,AGN
-30.5989686,-28.0316546,2.1545312,-0.4255341,3.45972626,-0.71689362,-0.84262422,-0.208316804,-0.189250456,-75.29762,AGN,bcu,3FGL J0049.4-4149,2240.492,PowerLaw,1RXS J004939.9-415133,0,3FGL J0049.4-4149,0.878874356,0.121125644,0.83106975,0.16893025,0.803215592,0.196784408,0.855393975,0.144606025,226,AGN
-29.9635868,-28.0616365,2.1434119,-1.95489911,3.8058952,-0.696883111,-0.637135218,-0.499682885,-0.345717804,-63.103218,AGN,bcu,3FGL J0049.4-5401,1746.9349,PowerLaw,PMN J0049-5402,0,3FGL J0049.4-5401,0.875806834,0.124193166,0.815537247,0.184462753,0.795094201,0.204905799,0.853470156,0.146529844,208,AGN
-27.6944554,-27.6896955,2.2440412,0.0184444505,4.47711241,-0.594381336,-0.647715291,-0.456055271,-0.757359225,-60.24447,AGN,bll,3FGL J0049.7+0237,1022.2843,PowerLaw,PKS 0047+023,0,3FGL J0049.7+0237,0.919045863,0.0809541365,0.880424503,0.119575497,0.858245861,0.141754139,0.900469051,0.0995309488,246,AGN
-27.9290249,-27.8468771,2.4621935,-0.114525766,3.94139358,-0.77740244,-0.685855923,-0.685317495,-0.291872088,-59.50251,AGN,fsrq,3FGL J0049.8-5737,938.1754,PowerLaw,PKS 0047-579,0,3FGL J0049.8-5737,0.904577603,0.0954223966,0.858140191,0.141859809,0.829179987,0.170820013,0.878815488,0.121184512,220,AGN
-27.6836481,-28.0502386,2.5278618,-0.60357708,4.22721542,-0.722253491,-0.527455499,-0.63016457,-0.999950155,-72.15446,AGN,bcu,3FGL J0050.0-4458,693.9973,PowerLaw,PMN J0049-4457,0,3FGL J0050.0-4458,0.874823582,0.125176418,0.828455319,0.171544681,0.801544645,0.198455355,0.856766613,0.143233387,219,AGN
-27.4056007,-27.6555928,2.449884,-0.350498259,4.14165411,-0.549710465,-0.705605035,-0.632910844,-0.924294953,-67.70284,AGN,fsrq,3FGL J0050.4-0449,823.89746,PowerLaw,PKS 0047-051,0,3FGL J0050.4-0449,0.90217443,0.0978255698,0.861917817,0.138082183,0.836150907,0.163849093,0.874559602,0.125440398,224,AGN
-26.2961311,-27.039417,2.0930758,0.225407147,5.742705,-0.467293989,-0.587401878,-0.548819222,-0.543507508,-72.355736,AGN,BLL,3FGL J0050.6-0929,1023.0648,PowerLaw,PKS 0048-09,0,3FGL J0050.6-0929,0.939094969,0.0609050313,0.894589146,0.105410854,0.879866516,0.120133484,0.910073267,0.0899267332,193,AGN
