Source_Name,AGN_BDT_SMOTE,AGN_BDT_STD_SMOTE,AGN_NN_SMOTE,AGN_NN_STD_SMOTE,AGN_RF_SMOTE,AGN_RF_STD_SMOTE,AGN_LR_SMOTE,AGN_LR_STD_SMOTE,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffBDT,diffNN,diffRF,diffLR
4FGL J0151.4-3607,0.9714526799076433,0.016985046195845337,0.956845801943377,0.04257029860170287,0.8812487483951806,0.02650691464553961,0.9407865292050451,0.021218406306529082,4FGL J0151.4-3607,0.975459221,0.0142692282,0.979769196,0.0180390069,0.966687787,0.0135831514,0.966898033,0.00859517259,0.23588638183020025,0.5384832808221378,3.2232736154826847,1.230606267866599
4FGL J0151.7+5455,0.2255787062221344,0.09418177839497427,0.4881978478807038,0.24115343557322852,0.5986403080876718,0.06543876620589645,0.8848262949731236,0.027449191972789614,4FGL J0151.7+5455,0.737561513,0.124534871,0.683524263,0.192825673,0.853194895,0.0483301702,0.945028843,0.0116451703,4.111160212932372,0.8099673747338486,3.8899661725191765,2.193235709326351
4FGL J0152.2+3714,0.9440831574471166,0.030785484758727374,0.9621662279298162,0.030335507158944775,0.9420724352345466,0.016151070388007355,0.9313677632767177,0.01668429596379043,4FGL J0152.2+3714,0.979060496,0.0729280945,0.984380892,0.0120214958,0.984022597,0.00834914433,0.972284183,0.00542966366,0.47961404713355604,0.7322990828466682,2.5973610886249765,2.4523911474647977
4FGL J0152.2+2206,0.9980496483780023,0.0013859414916059006,0.8959340154727323,0.09499962798992469,0.9489090148101389,0.01542018735643057,0.9549317835801622,0.01866371404077231,4FGL J0152.2+2206,0.997588212,0.00178664331,0.962367087,0.0451283952,0.984456588,0.00745655132,0.976803307,0.00855207233,-0.258270005780965,0.6992982281395174,2.3052620806865214,1.1718741174483152
4FGL J0152.6+0147,0.9861564969019333,0.010102370990692382,0.984321406283299,0.020095511246674223,0.9362391688562642,0.019036596512331944,0.9710077551359059,0.01193416546275319,4FGL J0152.6+0147,0.995684947,0.00282720834,0.993639805,0.0074827325,0.984335781,0.00806799148,0.980139707,0.00552801836,0.9431894856015024,0.46370548140412293,2.5265342001958517,0.7651940047752092
4FGL J0153.0+7517,0.8183798484693461,0.08965529610550627,0.8071059896345787,0.12628695607347223,0.7505285413426052,0.06037084320823343,0.6724725122110903,0.056061136452342085,4FGL J0153.0+7517,0.97159637,0.0138344478,0.919210827,0.0731159939,0.949430342,0.020344432,0.844211815,0.0258061226,1.708951151645842,0.8876992592980075,3.29466659876416,3.0634288503035667
4FGL J0153.4+7114,0.9135818141459923,0.0482998057654203,0.7090139222170427,0.2147733201113229,0.614666777507404,0.05811633579714095,0.7612090670733844,0.04974787799745398,4FGL J0153.4+7114,0.946736536,0.031956308,0.804887138,0.186096781,0.865217815,0.0415223216,0.907822866,0.0226733255,0.6864359251263169,0.4463925767561052,4.311198117637037,2.9471367388598764
4FGL J0153.5-5107,0.9994726944598994,0.001910073111388324,0.930481155456409,0.1021681689077866,0.8709917735038929,0.032312460521992444,0.9970190822095034,0.00971862999605195,4FGL J0153.5-5107,0.991517113,0.055304243,0.978226582,0.029542297,0.925981519,0.0281855715,0.988748733,0.0205102462,-0.14385119528531265,0.4673219365092506,1.7018123846891857,-0.40323012843714306
4FGL J0153.9+0823,0.9837211402251974,0.013753031448661539,0.9617314235390426,0.042892499222730064,0.9302840263288064,0.02332648155149041,0.9189267060309737,0.032227608156454444,4FGL J0153.9+0823,0.997090624,0.00164167717,0.98837585,0.0121848525,0.986026366,0.00836478788,0.946458155,0.0162267745,0.9721117722088652,0.6211908129344353,2.3896591326106837,0.854281485469543
4FGL J0154.3-0236,0.9978125808659343,0.0018823184866841322,0.9681395245826845,0.03331214547772298,0.8950756851806283,0.03098710542734561,0.8958362999761044,0.03464859707305399,4FGL J0154.3-0236,0.987841748,0.00816834942,0.986906313,0.0120551364,0.965097144,0.0142941274,0.961483982,0.0115614961,-1.2206667899785135,0.563361745338964,2.2596966658776374,1.8946707102016955
4FGL J0155.0+4433,0.5409182224532569,0.14243477834896393,0.770942914466264,0.1441973574738944,0.4502424422412376,0.08609106000009709,0.6351073245894683,0.06060280694647626,4FGL J0155.0+4433,0.782601568,0.113814253,0.913118088,0.0730360863,0.689762848,0.0864390599,0.84114367,0.0273832614,1.696800095792764,0.9859762760179264,2.7709742104536974,3.399782217884739
