Source_Name,AGN_BDT_S,AGN_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffRF,diffLR2,diffBDT,diffNN,diffNN2,diffLR,diffRF2,diffBDT2
4FGL J0449.1+1121,0.9975608745941873,0.012133661095443114,0.9943738222527442,0.016219378113474577,0.9816827489408656,0.015547379393655494,0.9774208519787645,0.008796293936642491,4FGL J0449.1+1121,0.994020498,0.00583036788,0.990095601,0.012243665,0.981166423,0.0176904814,0.961602297,0.016380222,0.021923252531049958,0.9657106587911017,0.26299512032969874,0.21052373476582978,0.8507963612077771,0.8507963612077771,0.029186652934475362,0.2917813977445671
4FGL J0449.2+6329,0.9988320892336977,9.340158654699569E-4,0.9987440538489752,0.005182321778946723,0.9793978286392271,0.01578429372080409,0.9998890969637011,6.937469379728818E-5,4FGL J0449.2+6329,0.999452629,3.87607491E-4,0.990333588,0.0132678804,0.991361111,0.0103371264,0.99973208,1.80411144E-4,-0.6340525986370031,0.8703285186256189,-0.6136367648647079,0.5904544537731327,0.8123387312579525,0.8123387312579525,-0.7579231970959225,-0.664378185899493
4FGL J0449.4-4350,0.9985221375743131,0.0016596300135320997,0.997269925887719,0.0065174917511919,0.9853517283248905,0.016984523071352686,0.9968410315035713,0.0016669375909218898,4FGL J0449.4-4350,0.999091655,0.00107698803,0.994200073,0.0108877673,0.992448889,0.0128820972,0.997092075,0.00181287127,-0.3329313923179738,-0.13847839092771452,-0.2878600191233237,0.24192239175966979,-0.10193586538782143,-0.10193586538782143,-0.4178604630400273,-0.34315927106838784
4FGL J0449.6-8100,0.9996354265600389,7.217586073808511E-4,0.9960006582145259,0.018140960008310537,0.971159097252146,0.019695881387400006,0.9898289845509816,0.007939979165361549,4FGL J0449.6-8100,0.998050192,0.00282536129,0.99252253,0.00842810914,0.977371866,0.0198680803,0.981329493,0.0127122936,-0.22207327650825381,0.6686040944634498,0.5436158009301213,0.1738787110765292,0.567079454625901,0.567079454625901,-0.3127010085546129,0.5610732212017017
4FGL J0449.6+3027,0.9498838317013364,0.05684972703156095,0.9701178723579074,0.06156677436318164,0.7898141834082946,0.09199150082214004,0.939811532140476,0.01976417681854447,4FGL J0449.6+3027,0.97414125,0.0280762278,0.96661831,0.0473734209,0.815418958,0.0890740638,0.876351022,0.0329957654,-0.19996027435567942,1.9232925610653036,-0.3825802816083094,0.045049044136650465,1.6499435513395775,1.6499435513395775,-0.2783384808691259,-0.4266936635455912
4FGL J0450.3-4419,0.9996322705080954,3.7804522154835163E-4,0.9997514704831146,7.577877939944696E-4,0.98399203994064,0.013137423269600185,0.999128093347762,4.687943304361996E-4,4FGL J0450.3-4419,0.999232043,9.12434841E-4,0.996278565,0.00683719806,0.983879886,0.014922909,0.997946759,0.00113196292,0.005641041746017278,1.0436157641648012,0.40523150042543454,0.5048514669296195,0.9641993539489077,0.9641993539489077,0.007515554818434801,0.4386368101165372
4FGL J0450.4+7230,0.9972447799195371,0.002250199803686361,0.998503335841566,0.00851986094495928,0.976555085958247,0.017431471117872695,0.9940519498161318,0.003453988112786426,4FGL J0450.4+7230,0.998437158,0.00139316245,0.991281523,0.0103205056,0.987796868,0.0132797882,0.989596577,0.00575120252,-0.5130031493825998,0.774685433287738,-0.45053816974687844,0.5396316155217497,0.6641208041228686,0.6641208041228686,-0.6449129832895535,-0.529898757661213
4FGL J0450.7-4938,0.9934933150117097,0.005500476448673694,0.9990988693915396,0.002985299687744546,0.9858092116245705,0.011577015846216163,0.9981053366391478,8.120362823427211E-4,4FGL J0450.7-4938,0.995399773,0.00412907382,0.995807444,0.00404377041,0.991269412,0.00971812959,0.996619569,0.00149831299,-0.36123898908001206,0.991627015893229,-0.277189036528863,0.6548354111096688,0.8718199693288661,0.8718199693288661,-0.47164143575169293,-0.3465987003271439
4FGL J0451.8-4651,0.9999181250094462,7.535305963085296E-5,0.9996922635825375,0.00109858571212392,0.993295079247304,0.0077149019393989455,0.9999376561827898,4.561941133441249E-5,4FGL J0451.8-4651,0.999802862,1.33952664E-4,0.996047463,0.00415620829,0.996222686,0.00640024632,0.999864528,1.25987086E-4,-0.29205640549132206,0.5804418937812142,0.7499583407304592,0.8478353744005657,0.5457649793354697,0.5457649793354697,-0.37947426625672354,0.8604756785292315
4FGL J0451.8+5721,0.9960147882170084,0.05621297038721422,0.9988558150610234,0.0032313048610604985,0.9888193134630415,0.010686920868880446,0.9906588209696219,0.0060187709396832545,4FGL J0451.8+5721,0.999334654,5.22422872E-4,0.977761068,0.0344592743,0.993881105,0.0080348631,0.986726346,0.00836419083,-0.3785801005913001,0.470156055684098,-0.059056164409070126,0.6094907749382363,0.3816223349634267,0.3816223349634267,-0.4736435872467338,-0.05905871474364758
