GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
121.53531,0.12189149,-20.038955486411847,2.3402355,0.12032628,0.5618268,8.308322,-0.5410787,-0.4203886,0.0016214728,-0.1946725,-0.64955246,-0.97542274,-0.92584616,2.1121903959216906,7.358786757240761,,4FGL J0039.1+6257,LogParabola,0.100593604,0.20237464,3FGL J0039.3+6256,,0.0,0.0,0,0.00017364009521125823,0.9998263599047787,0.04342594303617536,0.9565740569638244,0.059264616059572034,0.9407353839404271,0.039526519470329834,0.9604734805296717,1.0,1.0,1.0,1.0
120.615395,-20.753937,-22.690827313491546,2.3676662,0.17574415,0.022996852,0.29128262,-0.43607685,-0.2051776,0.0015534045,-0.81486636,-0.5603058,-0.50781053,-1.0,2.645063399868797,7.445431575295015,,4FGL J0039.7+4203,PowerLaw,0.08826954,0.28487,,,0.0,0.0,0,0.9995541356311998,0.00044586436882621076,0.998685460915956,0.001314539084044615,0.9992856671543862,0.0007143328456142054,0.9958906062598746,0.004109393740125153,0.0,0.0,0.0,0.0
25.413816,-87.495476,-23.090211866847042,2.540147,0.16694386,-0.05200459,0.6238613,0.9999986,-0.83866936,0.0018401649,-0.7117552,-0.41394618,-0.99998635,-0.08224542,1.6164188886189084,7.104452344569264,,4FGL J0040.2-2725,PowerLaw,0.068403214,0.34892288,,,0.74,0.0,0,0.99805899808814,0.0019410019118645788,0.9946439025929332,0.005356097407066715,0.9958126333971662,0.004187366602833304,0.9697557786048084,0.030244221395191923,0.0,0.0,0.0,0.0
304.10223,-45.138298,-22.41818446207104,2.0501628,0.21942602,0.3325937,2.3002222,0.625856,-0.976728,0.0023995575,0.80295134,-0.53177667,-0.7002696,-0.6484657,1.600977564405013,8.052040911323205,,4FGL J0040.7-7157,PowerLaw,0.18363231,0.47363,,,0.0,0.0,0,0.9976899113857817,0.002310088614235211,0.9873443158626243,0.012655684137376383,0.984985813892401,0.015014186107598821,0.9843204723198758,0.015679527680123487,0.0,0.0,0.0,0.0
117.25753,-76.21324,-23.16965242282465,1.9596733,1.0975515,0.8808003,1.631531,-0.95346636,0.9997882,0.008630181,-0.88327533,0.17294449,-0.68796015,-0.9998141,2.292968703376296,8.223465950363007,,4FGL J0045.8-1324,PowerLaw,0.6759754,2.3048387,,,0.0,0.0,0,0.9986864047947391,0.0013135952052611174,0.9868335372301014,0.013166462769897068,0.9901878644059996,0.00981213559400017,0.9740543703373931,0.025945629662606714,0.0,0.0,0.0,0.0
112.1175,-83.1215,-22.708453319957933,1.9733977,0.19521876,0.043517172,0.560286,-0.9654646,0.9986172,0.0011381657,-0.5759709,-0.5001584,-0.3148314,-0.82281464,2.3159388335930675,8.057048134358526,,4FGL J0045.9-2021,PowerLaw,0.087020285,0.3424041,,,0.0,0.0,0,0.9997481561246178,0.0002518438753633116,0.9978338116377194,0.0021661883622800366,0.9993586371874605,0.0006413628125375298,0.9974034642069738,0.0025965357930269758,0.0,0.0,0.0,0.0
303.49277,-46.309517,-23.125751157916767,2.1619933,0.18624283,-0.048444953,0.5844721,-0.9995561,0.98298806,5.906454E-4,-0.7210696,-0.5284373,-0.9997815,0.9988743,2.0794772910408197,7.956606292104761,,4FGL J0046.7-7048,PowerLaw,0.0686881,0.30465266,,,0.0,0.0,0,0.9984977165549032,0.0015022834450819469,0.9967216257681621,0.0032783742318386357,0.9992845634424451,0.0007154365575559972,0.988811283944421,0.011188716055578156,0.0,0.0,0.0,0.0
303.44296,-53.33411,-21.569238935218564,2.172921,0.18599944,0.4204481,4.662656,-1.0,0.9999996,0.004018103,-0.3950667,-0.6484089,-0.77653164,-0.9994747,2.0229174854160976,7.256995936970425,,4FGL J0048.6-6347,LogParabola,0.14073054,0.45898205,3FGL J0048.1-6343,,0.0,0.0,0,0.7688801150833037,0.23111988491670168,0.8917622246087655,0.10823777539123343,0.916984591205196,0.08301540879480475,0.6463903807608845,0.3536096192391151,0.0,0.0,0.0,0.01
123.01039,1.8703632,-21.309051133922058,2.5430565,0.17707159,0.2683908,2.5112798,-0.31627405,0.8034038,0.006916904,-0.49460497,-0.8260148,-0.8538699,-0.9958066,1.42789109545174,7.146285210508804,,4FGL J0052.1+6444,PowerLaw,0.14332691,0.74039036,3FGL J0051.6+6445,,0.0,0.0,0,0.9481490309782353,0.051850969021785015,0.6167934322296775,0.3832065677703229,0.5707131737475705,0.42928682625242937,0.8658208113118853,0.13417918868811335,0.0,0.215,0.0,0.0
126.44545,-77.90826,-23.50249585988345,1.6308755,0.57495856,0.8228252,3.2610059,-0.9946857,0.9840503,0.0012606077,0.9972674,0.29255205,-0.5482603,-0.9990795,1.8109311785831124,8.784149358481766,,4FGL J0054.4-1503,LogParabola,0.49600366,0.025422443,,,0.0,0.0,0,0.9838725873113111,0.016127412688706794,0.9575701857539883,0.042429814246011964,0.9879976778829351,0.012002322117064389,0.9806810701044819,0.019318929895517804,0.0,0.0,0.0,0.0
