GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,Source_Name,CLASS1,CLASS2,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
166.15872,4.3091006,-21.191147080047855,2.5909808,0.12688607,0.23507097,3.192562,-0.60137767,-0.2737384,0.0034514258,-0.73808587,-0.70346034,-0.9997741,-0.9999427,1.7075632713551308,6.611966838532227,4FGL J0526.7+4254,snr,OTHER,LogParabola,0.096096724,0.30365238,3FGL J0526.0+4253,SNR G166.0+04.3,0.8,0.8457636,0,0.7031854634561678,0.2968145365438322,0.5136783593943534,0.4863216406056469,0.18464751795893844,0.815352482041061,0.33446345121703197,0.6655365487829692,0.011,0.496,1.0,0.998
186.93945,-9.000935,-22.756430847176677,1.6834463,0.29555985,0.30057177,2.221315,-0.9999974,-0.9941023,0.0016688807,0.9999949,0.14502196,-0.18618603,-0.81146413,2.0417006031198794,9.287251689653898,4FGL J0528.3+1817,unk,OTHER,PowerLaw,0.20428987,0.67783993,3FGL J0528.3+1815,1RXS J052829.6+181657,0.0,0.97300154,0,0.9984796839346884,0.0015203160653107744,0.9993947088772239,0.000605291122774607,0.9976453375088767,0.0023546624911229674,0.9876535090171892,0.012346490982811284,0.0,0.0,0.0,0.0
190.58412,-9.792965,-22.42880173942585,1.9321368,0.32671693,0.40444753,1.8829743,-0.74273705,-0.8989025,0.0027104137,-0.95600027,0.76560676,-0.70812994,-0.25535914,2.421627868178629,8.651763768901088,4FGL J0533.5+1449,unk,OTHER,PowerLaw,0.13371693,0.8522064,,1RXS J053336.0+145115,0.0,0.9679976,0,0.9961942728912426,0.003805727108757203,0.9992934710844714,0.0007065289155293703,0.9927674040025415,0.007232595997458863,0.9775370746474956,0.022462925352505807,0.0,0.0,0.0,0.0
184.55287,-5.781456,-20.729395082453497,3.8018918,0.25573835,0.6656415,1.4809035,-0.6075714,-0.9266091,0.00414381,-0.9911809,-0.8144686,-0.83809036,-0.97042185,6.407158165195695,3.9243422904685286,4FGL J0534.5+2201s,PWN,OTHER,PowerLaw,0.29114252,0.12575696,3FGL J0534.5+2201s,Crab Nebula,1.0,0.9998551,20,0.9962534008201984,0.003746599179800337,0.9996167847825489,0.00038321521745126653,0.9987913033831058,0.0012086966168948705,0.8643354668848378,0.1356645331151619,0.0,0.0,0.0,0.0
277.75247,-32.160187,-21.150046924891274,2.6388707,0.08217032,0.18825144,3.9240975,-0.05068081,-0.7232295,0.0031176924,-0.7077434,-0.853589,-0.88324344,-0.98030955,1.8498274137639752,6.559267726693428,4FGL J0535.2-6736,HMB,OTHER,LogParabola,0.05980348,0.21271862,,LMC P3,1.0,0.9778559,0,0.6629030807587456,0.33709691924125484,0.8056309238186792,0.19436907618132085,0.2520707264117417,0.7479292735882578,0.443161768111392,0.5568382318886078,0.028,0.066,1.0,0.796
279.55023,-31.742825,-20.50030150169044,2.0190916,0.058853064,-0.027385963,1.1270837,-0.9995329,0.9772974,9.391206E-5,-0.42706856,-0.5683322,-0.685628,-0.19505017,1.901165440982733,8.575576621284235,4FGL J0537.8-6909,pwn,OTHER,PowerLaw,0.020169219,0.078081176,0FGL J0538.4-6856,N 157B,0.9998788,0.9954455,4,0.9853657295567935,0.014634270443207342,0.9643750764354736,0.03562492356452495,0.7461119426352045,0.2538880573647957,0.9715224672773379,0.02847753272266204,0.0,0.0,0.0,0.0
180.24426,-1.4998169,-18.78635599801404,2.1764119,0.049609076,0.1249124,5.146394,-0.63181597,-0.29194045,8.076984E-4,-0.4814947,-0.59151524,-0.70932984,-0.67728835,1.8984873096711483,7.127946717094938,4FGL J0540.3+2756e,SNR,OTHER,LogParabola,0.027273413,0.10275805,3FGL J0540.3+2756e,Sim 147,,,4,0.3658645693230385,0.6341354306769607,0.07953895645949945,0.9204610435405007,0.0551867356790837,0.9448132643209144,0.7987326189506607,0.2012673810493386,0.896,0.996,1.0,0.0
197.51508,-3.909119,-21.77306710451974,2.2667766,0.13331906,-0.026924094,0.41719687,-0.4897448,-0.54985356,0.0010327711,-0.8310707,-0.36602992,-0.6741131,-0.4369101,2.888376880561941,7.863035928147488,4FGL J0608.6+1149,unk,OTHER,PowerLaw,0.05633538,0.13852511,,NVSS J060835+114942,0.0,0.8162799,0,0.9980489386233938,0.001951061376605474,0.999116017268048,0.0008839827319515725,0.994907002838109,0.005092997161892052,0.9851919385553035,0.014808061444695994,0.0,0.0,0.0,0.0
189.86746,0.35267115,-20.830247109766276,2.5113888,0.17575067,0.17954287,2.5237553,-0.99261,0.9935003,0.0027076057,-0.77482414,-0.6784239,-0.8340819,-0.99999976,2.007935872903335,7.650330896162785,4FGL J0608.8+2034c,unk,OTHER,PowerLaw,0.0963705,0.3359246,2FGL J0608.3+2037,NVSS J060900+203746,0.0,0.81158346,36,0.35183780941621223,0.6481621905837882,0.5080001061267666,0.49199989387323345,0.08863092042277386,0.9113690795772258,0.3602762627729687,0.6397237372270327,0.94,0.473,1.0,0.989
189.04765,3.0334508,-16.697762514850734,2.0560036,0.013543919,0.12691307,22.124912,0.9522135,-0.25489962,9.1728856E-5,-0.5428952,-0.55531114,-0.69263595,-0.66696525,3.017651580670658,8.295791846578592,4FGL J0617.2+2234e,SNR,OTHER,LogParabola,0.0054136193,0.013907294,3FGL J0617.2+2234e,IC 443,,,0,0.403537771002797,0.5964622289972021,0.0006259049263080528,0.9993740950736922,1.6464931123172378e-08,0.9999999835350684,0.9083362555944073,0.09166374440559119,0.752,1.0,1.0,0.0
