Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,TimesinTraining,GLON_3FGL,Flags_3FGL,Category_Prob
3FGL J0309.0+1029,-25.5841207,-27.1770734,2.0919607,1.42900841,6.50839895,-0.50568691,-0.573950927,-0.706849681,-0.626606219,-39.715294,AGN,fsrq,716.41235,LogParabola,PKS 0306+102,0.999846157,0.000154,0.987927965,0.012072035,0.998911396,0.001088604,0.980842221,0.019157779,309,169.16483,0,AGN
3FGL J0319.8+4130,-23.2305987,-26.2619807,1.9846979,1.6314618,6.43326935,-0.470121951,-0.56706154,-0.542106318,-0.649012626,-13.256111,AGN,RDG,554.57623,LogParabola,NGC 1275,0.996596794,0.003403206,0.970025792,0.029974208,0.997106663,0.002893337,0.947490171,0.052509829,305,150.58026,0,AGN
3FGL J0325.2+3410,-23.0420812,-27.4474071,2.43792,1.38252908,5.18232464,-0.68239724,-0.869799627,-0.857501527,-0.66131261,-18.6948,AGN,nlsy1,240.95148,LogParabola,1H 0323+342,0.999876552,0.000123,0.941233674,0.058766326,0.976181161,0.023818839,0.986929637,0.013070363,300,155.83333,0,AGN
3FGL J0325.5+2223,-23.5562643,-27.322075,2.4347787,1.33396326,5.56472115,-0.646477441,-0.78725311,-0.750842409,-0.999908218,-28.024559,AGN,fsrq,313.8629,LogParabola,TXS 0322+222,0.999355809,0.000644,0.966527938,0.033472062,0.98292229,0.01707771,0.981301487,0.018698513,317,163.66823,0,AGN
3FGL J0334.3-4008,-24.464694,-27.1045189,2.004648,1.4399405,6.01300158,-0.447529736,-0.607410211,-0.604019643,-0.631204238,-54.05846,AGN,bll,507.51984,LogParabola,PKS 0332-403,0.999865711,0.000134,0.984997549,0.015002451,0.997010867,0.002989133,0.992287342,0.007712658,311,244.77281,0,AGN
3FGL J0339.5-0146,-23.4219436,-27.255611,2.2525651,1.5024641,6.54829131,-0.570559496,-0.69505534,-0.712364459,-0.945557659,-42.449394,AGN,fsrq,344.98178,LogParabola,PKS 0336-01,0.994484525,0.005515475,0.9839693,0.0160307,0.997525602,0.002474398,0.970011775,0.029988225,313,188.00082,0,AGN
3FGL J0349.9-2102,-24.3027344,-27.6220546,2.2044783,1.72857186,6.23161757,-0.514935913,-0.75292664,-0.873329542,-0.999224148,-49.024826,AGN,fsrq,385.483,LogParabola,PKS 0347-211,0.996397706,0.003602294,0.960797022,0.039202978,0.979861758,0.020138242,0.963861515,0.036138485,305,214.39467,0,AGN
3FGL J0403.9-3604,-22.1640937,-27.2433447,2.2728863,2.31938655,7.81863069,-0.582210418,-0.75400915,-0.822298919,-0.930681824,-48.4669,AGN,FSRQ,289.46152,LogParabola,PKS 0402-362,0.99367388,0.00632612,0.977985654,0.022014346,0.998201521,0.001798479,0.972408608,0.027591392,291,237.73383,0,AGN
3FGL J0423.2-0119,-24.01993,-26.933345,2.2044618,1.3192695,6.28638059,-0.557614084,-0.670810685,-0.652074992,-0.680072566,-33.126644,AGN,FSRQ,506.56357,LogParabola,PKS 0420-01,0.999818076,0.000182,0.987281633,0.012718367,0.998825851,0.001174149,0.992744417,0.007255583,289,195.28563,0,AGN
3FGL J0428.6-3756,-23.8785834,-26.2021702,1.9498187,1.59983859,7.99008418,-0.438689512,-0.539449705,-0.498794083,-0.641880607,-43.617825,AGN,bll,719.9757,LogParabola,PKS 0426-380,0.998606182,0.001393818,0.990157501,0.009842499,0.999940292,5.97e-05,0.978754386,0.021245614,298,240.70401,0,AGN
