flux,unc,signif_curv,Spectral_Index_1,var,GLAT,CLASS
-30.9887310171,-27.4854580944,-0.0774787509,1.7902223,4.0168132673,-72.42695,AGN
-30.1799147142,-27.4642035444,0.5026950111,1.8079817,4.0945668708,-84.047516,AGN
-28.7267716628,-27.7141040569,-0.9836777192,2.4153802,3.7715043681,-68.5243,AGN
-27.784553571,-27.5030236137,0.9740341174,2.0583463,4.1587457448,-84.37602,AGN
-27.484294419,-27.8153249354,0.2792351195,2.407292,4.7257696863,-29.582802,AGN
-26.2995645242,-27.785435874,0.9590449405,2.6164255,4.1646330316,-60.07471,AGN
-32.4063035678,-27.7408206562,-0.3236889043,1.7376362,3.6168088743,-64.685646,AGN
-28.0669969465,-27.8089098892,0.561416134,2.48396,3.9545464813,-62.748528,AGN
-29.1401559411,-27.0409496175,1.2456701252,1.7965821,4.5162791027,-55.039944,AGN
-25.3470993525,-27.7583419504,0.7914161101,2.6916668,4.6246128206,-20.536995,AGN
-24.0736719149,-26.9773517629,1.6581495998,2.0943375,7.3083283134,-4.4141917,AGN
-29.9420341119,-27.5847989149,-1.3404241334,2.0390236,3.8350061552,-9.214272,AGN
-30.382770579,-27.7942818805,0.8903948791,1.983666,3.9658859629,-49.368923,AGN
-25.6432477651,-27.8630915485,0.8594656109,2.608352,4.5158695918,-85.7825,AGN
-28.1576842433,-27.8673885394,0.2996118453,2.3259218,4.1836219597,-23.320532,AGN
-29.8022143885,-27.8922661981,-0.0363119352,2.1802132,3.4869659,-74.57163,AGN
-28.7190613813,-27.8022737873,0.7239752489,2.3936923,3.7676158609,-63.149467,AGN
-23.0508991778,-27.1009748976,1.526890607,2.2600846,6.3553625635,-60.99247,AGN
-29.8940512388,-27.7202381447,-0.5703364244,2.0398386,3.7069636929,-44.400307,AGN
-22.9352421416,-27.0705617449,1.7370081191,2.3087792,7.1413173181,-1.2436273,AGN
-31.9642330645,-27.7785560208,-1.9970830619,1.7273983,3.6865423212,-76.25169,AGN
-29.2656092423,-27.1199487622,-1.0697811581,1.9908619,3.5967015135,5.3079176,AGN
-31.2835490953,-27.824341436,-0.9007336545,1.9252412,3.4729265607,-75.069405,AGN
-31.6375117235,-27.8793886807,-0.2441530975,1.9169142,3.8416655853,-56.92794,AGN
-24.4292428144,-26.6372229138,1.515296302,1.9072558,6.1925029603,-39.86327,AGN
-24.7709248503,-27.3639337829,0.7227611601,2.3626,6.8621979694,-30.525995,AGN
-27.2074444796,-28.0224369778,-0.8127407957,2.5028229,4.4258870688,-80.09843,AGN
-27.7858046952,-27.5502056247,0.0221345197,2.2991004,3.8627561919,-12.900712,AGN
-28.0436786896,-27.4348995813,-1.7949683918,2.0772939,4.61647974,-49.040955,AGN
-27.9105203898,-27.4717318772,0.0768124997,2.118065,4.0110923958,-58.38058,AGN
-29.0153773974,-27.3825119723,0.5326746902,1.9868995,4.212627961,-37.214005,AGN
-26.3442264565,-27.6133373152,0.8412121379,2.343904,6.170051225,-73.41015,AGN
-30.7815933574,-27.9427952542,0.033892293,2.0224857,3.6988036672,-84.45785,AGN
-30.4731444813,-27.8964918739,-0.0490059145,1.9620963,3.965613308,-54.988846,AGN
-28.5406079289,-27.2437386015,0.7005251771,2.3226357,4.276468477,-81.57122,AGN
-26.5240449533,-27.0193511986,1.7498488062,2.3479936,5.6854227207,-81.74139,AGN
-31.570096445,-27.7838853904,-0.1029634034,1.7863274,3.6705162487,-76.2571,AGN
-27.2067873946,-26.8488878773,0.9385600317,1.9141285,4.2945158932,-83.53114,AGN
-30.866622225,-27.5914038009,-0.8274805942,1.9840935,3.6521653472,-10.6864395,AGN
-32.854864102,-27.47122572,-1.0366894652,1.4847492,3.6706784507,-28.031471,AGN
-29.8127724693,-27.6186403787,0.2307308334,1.9883285,3.9459239366,-81.71182,AGN
-28.9794792178,-27.8430769209,1.0799015228,2.2079077,4.0813798578,-67.821365,AGN
